month,spec,edge_floor,bets,units,roi
2026-01,OLD,0.03,117,4.32,0.0369
2026-01,OLD,0.08,24,8.55,0.3563
2026-01,OLD,0.12,5,0.4,0.08
2026-01,NEW,0.03,94,-12.21,-0.1299
2026-01,NEW,0.08,18,-0.31,-0.0172
2026-01,NEW,0.12,3,2.4,0.8
2026-02,OLD,0.03,111,3.35,0.0302
2026-02,OLD,0.08,28,-5.52,-0.1971
2026-02,OLD,0.12,6,-3.33,-0.555
2026-02,NEW,0.03,104,8.51,0.0818
2026-02,NEW,0.08,27,-2.6,-0.0963
2026-02,NEW,0.12,5,-2.33,-0.466
2026-03,OLD,0.03,110,-0.48,-0.0044
2026-03,OLD,0.08,18,-2.82,-0.1567
2026-03,OLD,0.12,5,-5.0,-1.0
2026-03,NEW,0.03,114,3.44,0.0302
2026-03,NEW,0.08,21,-5.82,-0.2771
2026-03,NEW,0.12,4,-4.0,-1.0
2026-04,OLD,0.03,126,-10.38,-0.0824
2026-04,OLD,0.08,33,-6.91,-0.2094
2026-04,OLD,0.12,10,4.09,0.409
2026-04,NEW,0.03,128,-19.74,-0.1542
2026-04,NEW,0.08,33,0.16,0.0048
2026-04,NEW,0.12,9,2.64,0.2933
2026-05,OLD,0.03,82,-21.52,-0.2624
2026-05,OLD,0.08,35,-5.51,-0.1574
2026-05,OLD,0.12,15,-1.08,-0.072
2026-05,NEW,0.03,75,-21.32,-0.2843
2026-05,NEW,0.08,30,-2.99,-0.0997
2026-05,NEW,0.12,13,0.92,0.0708
2026-08,OLD,0.03,102,-6.51,-0.0638
2026-08,OLD,0.08,14,-1.57,-0.1121
2026-08,OLD,0.12,0,0.0,
2026-08,NEW,0.03,102,-2.52,-0.0247
2026-08,NEW,0.08,18,-3.15,-0.175
2026-08,NEW,0.12,2,-2.0,-1.0
2026-09,OLD,0.03,96,-8.78,-0.0915
2026-09,OLD,0.08,31,0.43,0.0139
2026-09,OLD,0.12,8,-1.91,-0.2388
2026-09,NEW,0.03,99,-10.18,-0.1028
2026-09,NEW,0.08,31,-7.01,-0.2261
2026-09,NEW,0.12,9,-2.91,-0.3233
