table,horizon,asked_minutes_before_kickoff,rows,fixtures_with_data,fixture_coverage,median_actual_age_minutes,answerable,leakage_violations
market_snapshots,T-24h,1440,3281,1022,0.9789,1573.5,True,0
market_snapshots,T-6h,360,3366,1032,0.9885,516.8,True,0
market_snapshots,T-3h,180,3429,1038,0.9943,324.4,True,0
market_snapshots,T-1h,60,3444,1039,0.9952,185.6,False,0
market_snapshots,T-30m,30,3467,1044,1.0,154.7,False,0
market_snapshots,T-10m,10,3468,1044,1.0,136.1,False,0
market_snapshots,LATEST_PRE_KICKOFF,0,3470,1044,1.0,123.7,True,0
model_snapshots,T-24h,1440,4970,1022,0.9789,1566.5,True,0
model_snapshots,T-6h,360,5014,1032,0.9885,540.8,True,0
model_snapshots,T-3h,180,5044,1038,0.9943,312.9,True,0
model_snapshots,T-1h,60,5078,1044,1.0,191.4,False,0
model_snapshots,T-30m,30,5078,1044,1.0,166.2,False,0
model_snapshots,T-10m,10,5078,1044,1.0,147.8,False,0
model_snapshots,LATEST_PRE_KICKOFF,0,5078,1044,1.0,134.7,True,0
