source,league,name_b,name_a,evidence,runner_up_evidence,score_conflicts,identical_string,same_normalised,status,calc_version
backtest_all_leagues,Belgian First Division A,Anderlecht,Anderlecht,114,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Antwerp,Antwerp,114,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Beerschot VA,Beerschot VA,36,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Cercle Brugge,Cercle Brugge,109,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Charleroi,Charleroi,110,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Club Brugge,Club Brugge,114,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Dender,Dender,72,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Eupen,Eupen,36,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Genk,Genk,114,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Gent,Gent,115,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Kortrijk,Kortrijk,72,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Mechelen,Mechelen,114,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,Oud-Heverlee Leuven,Oud-Heverlee Leuven,114,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,RAAL La Louviere,RAAL La Louviere,32,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,RWD Molenbeek,RWD Molenbeek,35,0,0,True,True,ACCEPTED,1.0.0
backtest_all_leagues,Belgian First Division A,St Truiden,St Truiden,110,0,0,True,True,ACCEPTED,1.0.0
