label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,dataset,target,train_rows,test_rows,n_features,cutoff
old_v9_fd_history/btts,10561,0.5491904175740934,0.5491904175740934,0.5676545781649465,1.8464160590853096,0.5522865016766979,0.5975588183265522,0.5824137931034483,0.5898891120230507,0.46,0.6739491721150855,0.24093548759248026,0.5799521434934707,0.6353152013722085,0.01592514935734475,0.6882999492375013,0.2475803028188864,1.0.0,0.014350777122415725,0.006644815226406142,0.5300000000000002,0.5673705141558565,3378,2275,2422,2486,old_v9_fd_history,btts,41855,10561,121,2025-10-18
old_v9_fd_history/over15,10561,0.7614809203673895,0.7614809203673895,0.7628065524098097,0.13256320424201995,0.5589188173364154,0.7895455674199156,0.790723700571997,0.7901341948310139,0.46,0.535401574449092,0.17661183766947233,0.6077983401749786,0.827238876321608,0.017046614038856548,0.5493668811769089,0.18162772828382295,1.0.0,0.013965306727816929,0.005015890614350621,0.7000000000000003,0.7627118644067796,6359,1695,1683,824,old_v9_fd_history,over15,41855,10561,121,2025-10-18
old_v9_fd_history/over25,10561,0.5276015528832497,0.5276015528832497,0.5672758261528265,3.967427326957673,0.564291261306101,0.6032171581769437,0.48456568557071067,0.5374203821656051,0.5,0.6748244104372919,0.24116803150826818,0.5964370898100732,0.6193248770760351,0.020328500535297535,0.6916227142934092,0.24923815427843315,1.0.0,0.016798303856117247,0.008070122770164972,0.5300000000000002,0.5672758261528265,2700,1776,2872,3213,old_v9_fd_history,over25,41855,10561,121,2025-10-18
old_v9_fd_history/over35,10561,0.2986459615566708,0.7013540384433292,0.7037212385190796,0.23672000757504197,0.561082106345272,0.3698919061428948,0.4448319594166138,0.40391535914783355,0.4400000000000001,0.5953742929180116,0.2034857178484969,0.5970363729865638,0.3914361824800133,0.01659615297007495,0.6097126591289266,0.2094565512025623,1.0.0,0.014338366210914999,0.005970833354065397,0.29999999999999993,0.7045734305463498,1403,2390,1751,5017,old_v9_fd_history,over35,41855,10561,121,2025-10-18
canonical/btts,10561,0.5491904175740934,0.5491904175740934,0.5696430262285769,2.0452608654483506,0.5552144398815085,0.6001411681665785,0.5863793103448276,0.5931804308014302,0.48000000000000026,0.6732995787845584,0.2406002614443225,0.5840128667550283,0.6350564684446866,0.013931056348219829,0.6882999492375013,0.2475803028188864,1.0.0,0.01500037045294289,0.0069800413745639,0.5300000000000002,0.5659501941104063,3401,2266,2399,2495,canonical,btts,61212,10561,121,2025-10-18
canonical/over15,10561,0.7614809203673895,0.7614809203673895,0.7632799924249598,0.179907205757035,0.5530969604889929,0.7857653791130186,0.8195722457100224,0.8023128423615338,0.5300000000000002,0.5357181393077867,0.1766561022414807,0.6043271089977301,0.8255974655373488,0.012765415559449865,0.5493668811769089,0.18162772828382295,1.0.0,0.013648741869122238,0.004971626042342248,0.7000000000000003,0.7635640564340498,6591,1797,1451,722,canonical,over15,61212,10561,121,2025-10-18
canonical/over25,10561,0.5276015528832497,0.5276015528832497,0.5661395701164662,3.853801723321648,0.5656522777965076,0.5914634146341463,0.5744795405599425,0.5828477785870356,0.51,0.6751604124214095,0.24132391837039022,0.5967585256120537,0.619840806438469,0.016493612323769155,0.6916227142934092,0.24923815427843315,1.0.0,0.016462301871999707,0.007914235908042938,0.51,0.5679386421740366,3201,2211,2371,2778,canonical,over25,61212,10561,121,2025-10-18
canonical/over35,10561,0.2986459615566708,0.7013540384433292,0.7062778146008901,0.49237761575608996,0.5672747051817083,0.3701923076923077,0.48826886493341787,0.42111019961717255,0.4900000000000001,0.5943273189059384,0.20295094511605558,0.5978596657312031,0.39804577646802675,0.014843057659101069,0.6097126591289266,0.2094565512025623,1.0.0,0.015385340222988209,0.006505606086506716,0.29999999999999993,0.7070353186251302,1540,2620,1614,4787,canonical,over35,61212,10561,121,2025-10-18
canonical_full_feature_only/btts,10561,0.5491904175740934,0.5491904175740934,0.5631095540195057,1.3919136445412317,0.5460224597846005,0.5896186796573156,0.6051724137931035,0.5972943078362971,0.48000000000000026,0.6807157639115374,0.24389855558781465,0.5665231333608558,0.6172002360340394,0.01708432395425273,0.6882999492375013,0.2475803028188864,1.0.0,0.0075841853259638325,0.003681747231071758,0.5200000000000005,0.5523151216740839,3510,2443,2290,2318,canonical_full_feature_only,btts,44844,10561,121,2025-10-18
canonical_full_feature_only/over15,10561,0.7614809203673895,0.7614809203673895,0.7606287283401193,-0.085219202727016,0.5583924768131265,0.7890653860362025,0.7968167122606317,0.7929221060446701,0.5700000000000002,0.5387553839830876,0.17775228857216122,0.5977437182461786,0.8173136042944666,0.011921769618956307,0.5493668811769089,0.18162772828382295,1.0.0,0.010611497193821262,0.003875439711661738,0.7000000000000003,0.7614809203673895,6408,1713,1634,806,canonical_full_feature_only,over15,44844,10561,121,2025-10-18
