n_legs,legs,leg_probs,joint_probability,independence_probability,dependency_ratio,fair_odds,independence_fair_odds,joint_source,leg_flags,leg1_market,leg1_label,leg1_p,leg2_market,leg2_label,leg2_p,leg3_market,leg3_label,leg3_p,match,league,match_date,combo_result,leg_results,settle_note,final_score,settle_version
2,Home or draw + Home over 1.5 goals,"84%, 57%",0.5534,0.4791,1.155,1.81,2.09,SCORE_MATRIX_EXACT,OK,1X,Home or draw,0.8387,HOME_O15,Home over 1.5 goals,0.5712,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Under 3.5 goals + Home over 0.5 goals,"70%, 85%",0.5495,0.5927,0.927,1.82,1.69,SCORE_MATRIX_EXACT,OK,U35,Under 3.5 goals,0.6953,HOME_O05,Home over 0.5 goals,0.8525,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 1.5 goals + Away over 0.5 goals,"77%, 58%",0.5319,0.4497,1.183,1.88,2.22,SCORE_MATRIX_EXACT,OK,O15,Over 1.5 goals,0.7717,AWAY_O05,Away over 0.5 goals,0.5828,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 2.5 goals + Home over 0.5 goals,"53%, 85%",0.5186,0.4493,1.154,1.93,2.23,SCORE_MATRIX_EXACT,OK,O25,Over 2.5 goals,0.5271,HOME_O05,Home over 0.5 goals,0.8525,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 1.5 goals + Home win,"77%, 61%",0.5019,0.4741,1.059,1.99,2.11,SCORE_MATRIX_EXACT,OK,O15,Over 1.5 goals,0.7717,HOME,Home win,0.6144,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Home win + Home over 1.5 goals,"61%, 57%",0.5019,0.3509,1.43,1.99,2.85,SCORE_MATRIX_EXACT,OK,HOME,Home win,0.6144,HOME_O15,Home over 1.5 goals,0.5712,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Home over 0.5 goals + Away over 0.5 goals,"85%, 58%",0.5001,0.4968,1.007,2.0,2.01,SCORE_MATRIX_EXACT,OK,HOME_O05,Home over 0.5 goals,0.8525,AWAY_O05,Away over 0.5 goals,0.5828,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 1.5 goals + Under 3.5 goals,"77%, 70%",0.467,0.5365,0.87,2.14,1.86,SCORE_MATRIX_EXACT,OK,O15,Over 1.5 goals,0.7717,U35,Under 3.5 goals,0.6953,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 2.5 goals + Home over 1.5 goals,"53%, 57%",0.4577,0.3011,1.52,2.18,3.32,SCORE_MATRIX_EXACT,OK,O25,Over 2.5 goals,0.5271,HOME_O15,Home over 1.5 goals,0.5712,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Under 3.5 goals + Both teams to score - No,"70%, 50%",0.4443,0.3475,1.278,2.25,2.88,SCORE_MATRIX_EXACT,OK,U35,Under 3.5 goals,0.6953,BTTS_NO,Both teams to score - No,0.4999,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 2.5 goals + Home or draw,"53%, 84%",0.4399,0.442,0.995,2.27,2.26,SCORE_MATRIX_EXACT,OK,O25,Over 2.5 goals,0.5271,1X,Home or draw,0.8387,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Both teams to score + Home or draw,"50%, 84%",0.4215,0.4194,1.005,2.37,2.38,SCORE_MATRIX_EXACT,OK,BTTS,Both teams to score,0.5001,1X,Home or draw,0.8387,,,,Pumas vs Necaxa,Mexico Liga MX,2026-08-24,UNKNOWN,,NO_SCORELINE,,
2,Over 1.5 goals + Away over 0.5 goals,"76%, 60%",0.5501,0.4601,1.196,1.82,2.17,SCORE_MATRIX_EXACT,OK,O15,Over 1.5 goals,0.762,AWAY_O05,Away over 0.5 goals,0.6038,,,,Wycombe Wanderers vs Plymouth Argyle,League One,2026-08-22,UNKNOWN,,NO_SCORELINE,,
2,Under 3.5 goals + Home over 0.5 goals,"72%, 83%",0.5505,0.5965,0.923,1.82,1.68,SCORE_MATRIX_EXACT,OK,U35,Under 3.5 goals,0.7217,HOME_O05,Home over 0.5 goals,0.8264,,,,Wycombe Wanderers vs Plymouth Argyle,League One,2026-08-22,UNKNOWN,,NO_SCORELINE,,
2,Home over 0.5 goals + Away over 0.5 goals,"83%, 60%",0.5104,0.499,1.023,1.96,2.0,SCORE_MATRIX_EXACT,OK,HOME_O05,Home over 0.5 goals,0.8264,AWAY_O05,Away over 0.5 goals,0.6038,,,,Wycombe Wanderers vs Plymouth Argyle,League One,2026-08-22,UNKNOWN,,NO_SCORELINE,,
2,Home or draw + Home over 1.5 goals,"82%, 52%",0.5054,0.429,1.178,1.98,2.33,SCORE_MATRIX_EXACT,OK,1X,Home or draw,0.8174,HOME_O15,Home over 1.5 goals,0.5248,,,,Wycombe Wanderers vs Plymouth Argyle,League One,2026-08-22,UNKNOWN,,NO_SCORELINE,,
