model_type,market,bin,n,claimed,realised,gap_pp
new_format,OU25,0.00-0.40,147,0.33545226499249864,0.5102040816326531,-17.475181664015444
new_format,OU25,0.40-0.50,266,0.45116833329240336,0.5112781954887218,-6.010986219631842
new_format,OU25,0.50-0.55,145,0.5245961626934192,0.6068965517241379,-8.230038903071868
new_format,OU25,0.55-0.60,91,0.5767817105986537,0.5714285714285714,0.5353139170082288
new_format,OU25,0.60-0.70,71,0.6259227167123033,0.676056338028169,-5.0133621315865735
new_format,OU25,0.70-1.00,17,0.7905063054487173,0.5294117647058824,26.10945407428349
standard,OU25,0.00-0.40,2,0.3520924579343181,0.5,-14.790754206568192
standard,OU25,0.40-0.50,264,0.46499701358046713,0.5340909090909091,-6.9093895510441925
standard,OU25,0.50-0.55,162,0.5229056585104336,0.5370370370370371,-1.413137852660351
standard,OU25,0.55-0.60,46,0.5689538258014454,0.5434782608695652,2.547556493188019
standard,OU25,0.60-0.70,38,0.6230492056492641,0.5,12.304920564926414
standard,OU25,0.70-1.00,2,0.705148256715677,0.5,20.514825671567706
unknown,OU25,0.00-0.40,1,0.3797666666666666,1.0,-62.02333333333334
unknown,OU25,0.40-0.50,2,0.4573325396825397,1.0,-54.26674603174604
