segment,league,model_type,market_a,market_b,label_a,label_b,n,k_joint,p_a,p_b,p_joint,independent_joint,dependency_ratio,excess_pp,phi,joint_ci_lo,joint_ci_hi,frechet_lo,frechet_hi,frechet_ok,independence_within_ci,sample_status,calc_version
ALL,ALL,ALL,O15,U25,Over 1.5,Under 2.5,23604,5623,0.741612,0.496611,0.238222,0.368292,0.6468,-13.007,-0.5943,0.232831,0.243699,0.238222,0.496611,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,U35,Over 1.5,Under 3.5,23604,10942,0.741612,0.721954,0.463565,0.535409,0.8658,-7.184,-0.3663,0.45721,0.469933,0.463565,0.721954,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,BTTS_NO,Over 1.5,BTTS No,23604,4956,0.741612,0.468353,0.209964,0.347336,0.6045,-13.737,-0.6289,0.204816,0.215207,0.209964,0.468353,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,HOME,Over 1.5,Home win,23604,7915,0.741612,0.441324,0.335325,0.327291,1.0245,0.803,0.037,0.329329,0.341374,0.182935,0.441324,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,DRAW,Over 1.5,Draw,23604,4376,0.741612,0.261354,0.185392,0.193823,0.9565,-0.843,-0.0438,0.180486,0.190401,0.002966,0.261354,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,AWAY,Over 1.5,Away win,23604,5214,0.741612,0.297322,0.220895,0.220498,1.0018,0.04,0.002,0.215648,0.226232,0.038934,0.297322,True,True,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,1X,Over 1.5,Home or draw,23604,12291,0.741612,0.702678,0.520717,0.521114,0.9992,-0.04,-0.002,0.514341,0.527086,0.444289,0.702678,True,True,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,X2,Over 1.5,Draw or away,23604,9590,0.741612,0.558676,0.406287,0.414321,0.9806,-0.803,-0.037,0.400037,0.412568,0.300288,0.558676,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O15,12,Over 1.5,Home or away,23604,13129,0.741612,0.738646,0.556219,0.547788,1.0154,0.843,0.0438,0.549872,0.562548,0.480258,0.738646,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,U15,HOME,Under 1.5,Home win,23604,2502,0.258388,0.441324,0.105999,0.114033,0.9295,-0.803,-0.037,0.102136,0.109991,0.0,0.258388,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,U15,DRAW,Under 1.5,Draw,23604,1793,0.258388,0.261354,0.075962,0.067531,1.1248,0.843,0.0438,0.07265,0.079411,0.0,0.258388,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,U15,AWAY,Under 1.5,Away win,23604,1804,0.258388,0.297322,0.076428,0.076825,0.9948,-0.04,-0.002,0.073107,0.079886,0.0,0.258388,True,True,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,U15,1X,Under 1.5,Home or draw,23604,4295,0.258388,0.702678,0.181961,0.181564,1.0022,0.04,0.002,0.177091,0.186934,0.0,0.258388,True,True,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,U15,X2,Under 1.5,Draw or away,23604,3597,0.258388,0.558676,0.152389,0.144356,1.0557,0.803,0.037,0.147861,0.157031,0.0,0.258388,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,U15,12,Under 1.5,Home or away,23604,4306,0.258388,0.738646,0.182427,0.190858,0.9558,-0.843,-0.0438,0.177552,0.187405,0.0,0.258388,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,U35,Over 2.5,Under 3.5,23604,5319,0.503389,0.721954,0.225343,0.363424,0.6201,-13.808,-0.6164,0.220058,0.230718,0.225343,0.503389,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,BTTS,Over 2.5,BTTS Yes,23604,9673,0.503389,0.531647,0.409803,0.267625,1.5313,14.218,0.5699,0.403545,0.416092,0.035036,0.503389,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,BTTS_NO,Over 2.5,BTTS No,23604,2209,0.503389,0.468353,0.093586,0.235764,0.3969,-14.218,-0.5699,0.089936,0.097368,0.0,0.468353,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,HOME,Over 2.5,Home win,23604,6248,0.503389,0.441324,0.264701,0.222158,1.1915,4.254,0.1714,0.259111,0.270367,0.0,0.441324,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,DRAW,Over 2.5,Draw,23604,1500,0.503389,0.261354,0.063549,0.131563,0.483,-6.801,-0.3096,0.060507,0.066732,0.0,0.261354,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,AWAY,Over 2.5,Away win,23604,4134,0.503389,0.297322,0.17514,0.149669,1.1702,2.547,0.1115,0.170344,0.180041,0.0,0.297322,True,False,VALIDATION_CANDIDATE,1.0.0
ALL,ALL,ALL,O25,1X,Over 2.5,Home or draw,23604,7748,0.503389,0.702678,0.328249,0.35372,0.928,-2.547,-0.1115,0.322287,0.334268,0.206067,0.503389,True,False,VALIDATION_CANDIDATE,1.0.0
