market_a,market_b,n_segments,ratio_mean,ratio_min,ratio_max,ratio_std,ratio_overall,all_same_direction,spread
O15,1X,25,0.9994,0.9755,1.0198,0.0111,0.9992,False,0.0443
U35,1X,25,0.9964,0.9799,1.03,0.0108,0.9984,False,0.0501
O15,12,25,1.0141,0.9971,1.0485,0.0113,1.0154,False,0.0514
O15,U35,25,0.8688,0.8414,0.8954,0.0143,0.8658,True,0.054
BTTS,1X,25,1.0385,1.007,1.0611,0.0136,1.038,True,0.0541
1X,12,25,0.8494,0.8211,0.8795,0.0147,0.8503,True,0.0584
U35,12,25,0.9835,0.9464,1.0065,0.0137,0.9829,False,0.0601
BTTS_NO,1X,25,0.9562,0.9273,0.9895,0.0154,0.9569,True,0.0622
BTTS_NO,12,25,1.1381,1.1097,1.1727,0.0188,1.1343,True,0.063
O15,X2,25,0.9824,0.957,1.0202,0.0161,0.9806,False,0.0632
BTTS_NO,X2,25,0.8726,0.842,0.9064,0.0217,0.8768,True,0.0644
U25,12,25,0.8139,0.7812,0.8496,0.02,0.8146,True,0.0684
U35,X2,25,1.0268,1.0004,1.0702,0.0178,1.0246,True,0.0698
O15,U25,25,0.6529,0.6164,0.689,0.0193,0.6468,True,0.0726
BTTS,X2,25,1.1107,1.0759,1.1509,0.018,1.1086,True,0.075
U35,HOME,25,0.9664,0.9172,0.9995,0.021,0.9688,True,0.0823
O15,HOME,25,1.0224,0.9731,1.0558,0.0209,1.0245,False,0.0827
BTTS,12,25,0.8792,0.8358,0.9192,0.0211,0.8817,True,0.0834
O15,AWAY,25,1.0015,0.9627,1.0533,0.0248,1.0018,False,0.0906
U35,BTTS,25,0.7533,0.7082,0.8028,0.0253,0.7495,True,0.0946
U15,12,25,0.9595,0.9151,1.0105,0.0273,0.9558,False,0.0954
O35,1X,25,1.0076,0.9433,1.0393,0.0266,1.0042,False,0.096
U35,AWAY,25,1.0088,0.9438,1.0451,0.0239,1.0038,False,0.1013
O25,1X,25,0.9268,0.8641,0.9682,0.0231,0.928,True,0.1041
U25,1X,25,1.0759,1.0251,1.1323,0.0249,1.073,True,0.1072
U25,BTTS,25,0.4664,0.4115,0.5249,0.0311,0.4615,True,0.1134
O15,DRAW,25,0.9608,0.8935,1.0081,0.0274,0.9565,False,0.1146
BTTS,HOME,25,0.8581,0.7995,0.9163,0.0267,0.8626,True,0.1168
O25,U35,25,0.6223,0.5575,0.6755,0.0313,0.6201,True,0.118
BTTS_NO,HOME,25,1.1629,1.1032,1.2231,0.0294,1.156,True,0.1199
U25,X2,25,1.152,1.0888,1.2133,0.0365,1.1533,True,0.1245
X2,12,25,0.7225,0.6511,0.7849,0.0363,0.7205,True,0.1338
O35,X2,25,0.9344,0.8643,0.9987,0.0362,0.936,True,0.1344
BTTS,AWAY,25,0.9096,0.8346,0.9822,0.0347,0.9102,True,0.1476
BTTS_NO,AWAY,25,1.1023,1.0266,1.1814,0.0373,1.102,True,0.1548
O35,12,25,1.0425,0.9772,1.1326,0.0354,1.0444,False,0.1554
U25,HOME,25,0.8074,0.714,0.8696,0.0403,0.8059,True,0.1556
O15,BTTS_NO,25,0.6104,0.5353,0.6961,0.0441,0.6045,True,0.1608
O25,X2,25,0.8507,0.758,0.9272,0.0416,0.8487,True,0.1692
1X,X2,25,0.663,0.5691,0.7426,0.0424,0.6658,True,0.1735
O35,HOME,25,1.0833,1.0017,1.1761,0.0455,1.081,True,0.1744
U15,1X,25,1.003,0.9283,1.1047,0.0399,1.0022,False,0.1764
O25,12,25,1.1835,1.1253,1.3131,0.04,1.1829,True,0.1878
U25,AWAY,25,0.8249,0.7363,0.932,0.048,0.8275,True,0.1957
BTTS,DRAW,25,1.3423,1.2427,1.4441,0.0482,1.3343,True,0.2014
U35,DRAW,25,1.0491,0.9823,1.1885,0.0445,1.0483,False,0.2062
O25,HOME,25,1.1905,1.0968,1.3158,0.0547,1.1915,True,0.219
O35,BTTS_NO,25,0.2695,0.1598,0.3876,0.0585,0.2616,True,0.2278
O25,AWAY,25,1.1719,1.0756,1.3084,0.0559,1.1702,True,0.2328
U15,X2,25,1.0501,0.9138,1.1657,0.0532,1.0557,False,0.2519
BTTS_NO,DRAW,25,0.6051,0.5059,0.759,0.0615,0.6206,True,0.2531
U15,DRAW,25,1.1165,0.9692,1.2338,0.0782,1.1248,False,0.2646
O25,BTTS_NO,25,0.402,0.2886,0.5608,0.0601,0.3969,True,0.2722
O35,AWAY,25,0.9821,0.8914,1.1672,0.0655,0.9901,False,0.2758
U35,BTTS_NO,25,1.2901,1.1318,1.4142,0.0668,1.2844,True,0.2824
O25,DRAW,25,0.4849,0.3123,0.6242,0.0598,0.483,True,0.3119
U15,HOME,25,0.9369,0.7982,1.1147,0.0676,0.9295,False,0.3165
U15,AWAY,25,0.9937,0.7725,1.1409,0.088,0.9948,False,0.3684
O35,DRAW,25,0.879,0.672,1.0626,0.0948,0.8745,False,0.3906
U25,DRAW,25,1.5359,1.3346,1.7348,0.1006,1.524,True,0.4002
U25,BTTS_NO,25,1.6241,1.3248,1.8575,0.1193,1.6113,True,0.5327
O25,BTTS,25,1.531,1.3719,1.9988,0.1326,1.5313,True,0.6269
O35,BTTS,25,1.6479,1.4375,2.1705,0.1493,1.6505,True,0.733
