model_a,model_b,n_a_total,n_both,n_a_alone,roi_a_overall,roi_a_when_b_fired,roi_a_when_b_silent,lift_pp,ci_lo_roi_both,ci_hi_roi_both,error_corr_phi,pnl_a_when_b_fired,p_value,interpretable,calc_version,bh_significant,bh_q,n_hypotheses
over35,btts,8,2,6,-0.52,-0.034999999999999976,-0.6816666666666666,64.66666666666667,,,,-0.06999999999999995,,False,1.0.0,False,,8
over35,ou25_newformat,8,7,1,-0.52,-0.45142857142857146,-1.0,54.85714285714285,,,-0.7302967433402215,-3.16,,False,1.0.0,False,,8
ou25_newformat,over35,419,7,412,-0.0668257756563246,0.4328571428571428,-0.07531553398058252,50.81726768377253,,,-0.7302967433402213,3.0299999999999994,,False,1.0.0,False,,8
ou25_standard,btts,225,33,192,-0.2024888888888889,0.14363636363636365,-0.2619791666666667,40.56155303030303,-0.2131060606060606,0.497280303030303,0.38497419160916246,4.74,0.03925,True,1.0.0,False,,8
btts,ou25_newformat,175,77,98,0.2802,0.3366233766233767,0.2358673469387755,10.075602968460121,0.11887337662337663,0.5683246753246752,0.41833001326703834,25.920000000000005,0.49775,True,1.0.0,False,,8
ou25_newformat,btts,419,77,342,-0.0668257756563246,0.007922077922077915,-0.08365497076023391,9.157704868231182,-0.26001623376623384,0.27299025974025976,0.41833001326703834,0.6099999999999994,0.53525,True,1.0.0,False,,8
over15,ou25_newformat,76,57,19,0.009210526315789488,0.024210526315789495,-0.03578947368421049,5.999999999999998,-0.1738640350877193,0.2150877192982456,0.4994799790584702,1.3800000000000012,0.769,True,1.0.0,False,,8
over15,btts,76,55,21,0.009210526315789488,0.02145454545454544,-0.022857142857142847,4.431168831168828,-0.17763636363636362,0.21730000000000008,0.8256591082056579,1.1799999999999993,0.86125,True,1.0.0,False,,8
btts,over15,175,55,120,0.2802,0.27018181818181813,0.28479166666666667,-1.460984848484853,-0.029552272727272722,0.5593863636363636,0.8256591082056579,14.859999999999998,0.92775,True,1.0.0,False,,8
ou25_newformat,over15,419,57,362,-0.0668257756563246,-0.15333333333333335,-0.05320441988950276,-10.01289134438306,-0.4736842105263157,0.18284649122807034,0.4994799790584702,-8.74,0.538,True,1.0.0,False,,8
btts,ou25_standard,175,33,142,0.2802,0.15348484848484847,0.30964788732394366,-15.616303883909518,-0.17381818181818182,0.46288257575757574,0.3849741916091625,5.0649999999999995,0.422,True,1.0.0,False,,8
btts,over35,175,2,173,0.2802,-0.10999999999999999,0.28471098265895955,-39.471098265895954,,,,-0.21999999999999997,,False,1.0.0,False,,8
ou25_standard,over15,225,1,224,-0.2024888888888889,-1.0,-0.1989285714285714,-80.10714285714286,,,,-1.0,,False,1.0.0,False,,8
over15,ou25_standard,76,1,75,0.009210526315789488,-1.0,0.022666666666666672,-102.26666666666667,,,,-1.0,,False,1.0.0,False,,8
ou25_newformat,ou25_standard,419,0,419,-0.0668257756563246,,-0.0668257756563246,,,,,0.0,,False,1.0.0,False,,8
ou25_standard,ou25_newformat,225,0,225,-0.2024888888888889,,-0.2024888888888889,,,,,0.0,,False,1.0.0,False,,8
ou25_standard,over35,225,0,225,-0.2024888888888889,,-0.2024888888888889,,,,,0.0,,False,1.0.0,False,,8
over15,over35,76,0,76,0.009210526315789488,,0.009210526315789488,,,,,0.0,,False,1.0.0,False,,8
over35,ou25_standard,8,0,8,-0.52,,-0.52,,,,,0.0,,False,1.0.0,False,,8
over35,over15,8,0,8,-0.52,,-0.52,,,,,0.0,,False,1.0.0,False,,8
