row_id,logged_at,fixture_key,league,match_date,kickoff_utc,home_team,away_team,hours_to_kickoff,p_home,p_draw,p_away,calc_version,o_home,o_draw,o_away,m_home,m_draw,m_away,overround,price_at,result,settled_at,c_home,c_draw,c_away
503ad8885fb6ff6c,2026-09-05T08:47:04Z,b9324611845b7029,Mexico Liga MX,2026-09-07,2026-09-07T02:00:00Z,Cruz Azul,Santos Laguna,41.22,0.7973,0.138,0.0647,1.0.0,1.385,4.725,6.5,0.6639,0.1946,0.1415,1.0875,2026-09-04 22:04:00,,,,,
3aca34ef35fec253,2026-09-05T08:47:04Z,29079818ff326e5e,Championship,2026-09-05,2026-09-05T14:00:00Z,Burnley,Bristol City,5.22,0.7349,0.2111,0.054,1.0.0,1.9,3.6,3.795,0.493,0.2602,0.2468,1.0676,2026-09-04 22:04:00,,,,,
d60b7b385385228a,2026-09-05T08:47:04Z,e72b61d430320077,League One,2026-09-05,2026-09-05T14:00:00Z,Barnsley,Stevenage,5.22,0.4311,0.2613,0.3077,1.0.0,2.11,3.3,3.38,0.4418,0.2825,0.2758,1.0728,2026-09-04 22:04:00,,,,,
b6ea25d64cde5d8f,2026-09-05T08:47:04Z,597fb5ae4dc52c96,League One,2026-09-05,2026-09-05T14:00:00Z,Reading,Blackpool,5.22,0.5108,0.2314,0.2578,1.0.0,1.965,3.6,3.55,0.4763,0.26,0.2637,1.0684,2026-09-04 22:04:00,,,,,
2321bc58ec2cf9ef,2026-09-05T08:47:04Z,3f85e2ddba040a16,League One,2026-09-05,2026-09-05T14:00:00Z,Burton Albion,Cambridge United,5.22,0.4961,0.2687,0.2353,1.0.0,2.7,3.28,2.575,0.3482,0.2866,0.3651,1.0636,2026-09-04 22:04:00,,,,,
1945f91af2f7e781,2026-09-05T08:47:04Z,fd754a8b9bba2688,League One,2026-09-05,2026-09-05T14:00:00Z,Luton,Leyton Orient,5.22,0.5376,0.2286,0.2338,1.0.0,1.67,3.99,4.6,0.5613,0.2349,0.2038,1.0668,2026-09-04 22:04:00,,,,,
912d8d035e132c10,2026-09-05T08:47:04Z,bdadaf0cec8a4259,League Two,2026-09-05,2026-09-05T11:30:00Z,Salford City,Port Vale,2.72,0.3545,0.2682,0.3773,1.0.0,1.82,3.475,4.02,0.506,0.265,0.2291,1.086,2026-09-04 22:04:00,,,,,
76bd9b9cf21bab4e,2026-09-05T08:47:04Z,7b9f7c1e6b4eb474,Bundesliga 2,2026-09-05,2026-09-05T11:00:00Z,1. FC Kaiserslautern,SV Darmstadt 98,2.22,0.3781,0.2454,0.3764,1.0.0,2.15,3.54,3.02,0.4312,0.2619,0.307,1.0787,2026-09-04 22:04:00,,,,,
c59308999862c932,2026-09-05T08:47:04Z,5e9e418c63fe46fe,Bundesliga 2,2026-09-05,2026-09-05T11:00:00Z,Holstein Kiel,1. FC Nürnberg,2.22,0.4226,0.2853,0.292,1.0.0,2.345,3.5,2.74,0.3959,0.2653,0.3388,1.0771,2026-09-04 22:04:00,,,,,
d3ba9f9454d95fe8,2026-09-05T08:47:04Z,2a4e99b12ac2d1f4,Bundesliga 2,2026-09-05,2026-09-05T18:30:00Z,Dynamo Dresden,VfL Bochum,9.72,0.4782,0.2475,0.2743,1.0.0,2.08,3.59,3.2,0.4486,0.2599,0.2916,1.0718,2026-09-04 22:04:00,,,,,
