prop_market,match_market,segment,n,p_prop,p_match,p_joint,independent_joint,dependency_ratio,excess_pp,joint_ci_lo,joint_ci_hi,independence_within_ci,p_prop_given_match,calc_version
goals,O15,ALL,67052,0.09363,0.74475,0.08663,0.06973,1.2424,1.69,0.08451,0.08876,False,0.11633,1.0.0
goals,O15,player_rate=low,22426,0.03344,0.75239,0.03121,0.02516,1.2405,0.605,0.02894,0.03349,False,0.04149,1.0.0
goals,O15,player_rate=mid,22372,0.06008,0.7323,0.05525,0.04399,1.2558,1.125,0.05225,0.05824,False,0.07544,1.0.0
goals,O15,player_rate=high,22254,0.18801,0.74957,0.17404,0.14093,1.2349,3.311,0.16905,0.17902,False,0.23218,1.0.0
goals,O25,ALL,67052,0.09363,0.50907,0.06921,0.04766,1.4522,2.155,0.06729,0.07114,False,0.13596,1.0.0
goals,O25,player_rate=low,22426,0.03344,0.51498,0.02506,0.01722,1.4551,0.784,0.02301,0.02711,False,0.04866,1.0.0
goals,O25,player_rate=mid,22372,0.06008,0.49674,0.04372,0.02984,1.4649,1.387,0.04104,0.04639,False,0.08801,1.0.0
goals,O25,player_rate=high,22254,0.18801,0.5155,0.13935,0.09692,1.4377,4.243,0.1348,0.1439,False,0.27031,1.0.0
goals,O35,ALL,67052,0.09363,0.26781,0.04283,0.02507,1.7082,1.776,0.0413,0.04437,False,0.15994,1.0.0
goals,O35,player_rate=low,22426,0.03344,0.27428,0.01587,0.00917,1.7306,0.67,0.01424,0.01751,False,0.05788,1.0.0
goals,O35,player_rate=mid,22372,0.06008,0.25474,0.02736,0.0153,1.7876,1.205,0.02522,0.02949,False,0.10739,1.0.0
goals,O35,player_rate=high,22254,0.18801,0.27442,0.08556,0.05159,1.6583,3.396,0.08188,0.08923,False,0.31177,1.0.0
goals,U25,ALL,67052,0.09363,0.49093,0.02441,0.04597,0.5311,-2.155,0.02325,0.02558,False,0.04973,1.0.0
goals,U25,player_rate=low,22426,0.03344,0.48502,0.00838,0.01622,0.5168,-0.784,0.00719,0.00958,False,0.01728,1.0.0
goals,U25,player_rate=mid,22372,0.06008,0.50326,0.01636,0.03023,0.5411,-1.387,0.0147,0.01802,False,0.03251,1.0.0
goals,U25,player_rate=high,22254,0.18801,0.4845,0.04867,0.09109,0.5343,-4.243,0.04584,0.05149,False,0.10045,1.0.0
goals,BTTS,ALL,67052,0.09363,0.54655,0.06871,0.05117,1.3427,1.754,0.06679,0.07062,False,0.12571,1.0.0
goals,BTTS,player_rate=low,22426,0.03344,0.55039,0.02573,0.01841,1.3978,0.732,0.02366,0.0278,False,0.04675,1.0.0
goals,BTTS,player_rate=mid,22372,0.06008,0.53625,0.04394,0.03222,1.3639,1.172,0.04125,0.04662,False,0.08194,1.0.0
goals,BTTS,player_rate=high,22254,0.18801,0.55302,0.13692,0.10397,1.3169,3.294,0.1324,0.14144,False,0.24758,1.0.0
goals,BTTS_NO,ALL,67052,0.09363,0.45345,0.02492,0.04246,0.587,-1.754,0.02374,0.0261,False,0.05496,1.0.0
goals,BTTS_NO,player_rate=low,22426,0.03344,0.44961,0.00771,0.01504,0.513,-0.732,0.00657,0.00886,False,0.01716,1.0.0
goals,BTTS_NO,player_rate=mid,22372,0.06008,0.46375,0.01614,0.02786,0.5792,-1.172,0.01449,0.01779,False,0.0348,1.0.0
goals,BTTS_NO,player_rate=high,22254,0.18801,0.44698,0.05109,0.08404,0.608,-3.294,0.0482,0.05398,False,0.11431,1.0.0
goals,HOME,ALL,67052,0.09363,0.43304,0.04391,0.04054,1.0829,0.336,0.04236,0.04546,False,0.10139,1.0.0
goals,HOME,player_rate=low,22426,0.03344,0.43057,0.01467,0.0144,1.0188,0.027,0.0131,0.01624,True,0.03407,1.0.0
goals,HOME,player_rate=mid,22372,0.06008,0.43689,0.02852,0.02625,1.0866,0.227,0.02634,0.0307,False,0.06528,1.0.0
goals,HOME,player_rate=high,22254,0.18801,0.43165,0.08884,0.08116,1.0947,0.768,0.0851,0.09258,False,0.20581,1.0.0
goals,DRAW,ALL,67052,0.09363,0.26775,0.0201,0.02507,0.8019,-0.497,0.01904,0.02117,False,0.07508,1.0.0
goals,DRAW,player_rate=low,22426,0.03344,0.26599,0.00767,0.0089,0.8622,-0.123,0.00653,0.00881,False,0.02883,1.0.0
goals,DRAW,player_rate=mid,22372,0.06008,0.26931,0.01345,0.01618,0.8316,-0.272,0.01194,0.01496,False,0.04996,1.0.0
goals,DRAW,player_rate=high,22254,0.18801,0.26795,0.03932,0.05038,0.7805,-1.106,0.03677,0.04187,False,0.14674,1.0.0
goals,AWAY,ALL,67052,0.09363,0.29922,0.02962,0.02802,1.0572,0.16,0.02834,0.0309,False,0.09899,1.0.0
goals,AWAY,player_rate=low,22426,0.03344,0.30344,0.0111,0.01015,1.0941,0.096,0.00973,0.01247,True,0.03659,1.0.0
goals,AWAY,player_rate=mid,22372,0.06008,0.2938,0.0181,0.01765,1.0256,0.045,0.01636,0.01985,True,0.06162,1.0.0
goals,AWAY,player_rate=high,22254,0.18801,0.3004,0.05985,0.05648,1.0598,0.338,0.05674,0.06297,False,0.19925,1.0.0
assists,O15,ALL,67052,0.06842,0.74475,0.06359,0.05096,1.2479,1.263,0.06175,0.06544,False,0.08539,1.0.0
assists,O15,player_rate=low,22567,0.03563,0.74884,0.03306,0.02668,1.2391,0.638,0.03072,0.03539,False,0.04414,1.0.0
assists,O15,player_rate=mid,22184,0.06158,0.73449,0.05671,0.04523,1.2538,1.148,0.05366,0.05975,False,0.07721,1.0.0
assists,O15,player_rate=high,22301,0.10843,0.75082,0.10134,0.08141,1.2449,1.993,0.09738,0.1053,False,0.13497,1.0.0
assists,O25,ALL,67052,0.06842,0.50907,0.05145,0.03483,1.4771,1.662,0.04978,0.05312,False,0.10107,1.0.0
assists,O25,player_rate=low,22567,0.03563,0.50937,0.02645,0.01815,1.4578,0.831,0.02436,0.02855,False,0.05194,1.0.0
assists,O25,player_rate=mid,22184,0.06158,0.49856,0.04508,0.0307,1.4684,1.438,0.04235,0.04781,False,0.09042,1.0.0
assists,O25,player_rate=high,22301,0.10843,0.51921,0.08309,0.0563,1.476,2.679,0.07947,0.08671,False,0.16003,1.0.0
assists,O35,ALL,67052,0.06842,0.26781,0.03212,0.01832,1.7531,1.38,0.03079,0.03346,False,0.11995,1.0.0
assists,O35,player_rate=low,22567,0.03563,0.27053,0.0164,0.00964,1.7011,0.676,0.01474,0.01805,False,0.06061,1.0.0
