dataset,year,n,avg_goals,rate_btts,rate_over25,home_goals,away_goals,cov_shots,cov_corners
V9_CURRENT,2019,2940,2.732,0.5282,0.5129,1.5503,1.1816,0.9071,0.8905
V9_CURRENT,2020,3142,2.7451,0.5487,0.5264,1.4819,1.2632,0.9112,0.86
V9_CURRENT,2021,4734,2.5598,0.5091,0.4708,1.4242,1.1356,0.9696,0.8126
V9_CURRENT,2022,6496,2.6846,0.5308,0.5089,1.4881,1.1964,1.0,0.3788
V9_CURRENT,2023,9890,2.6778,0.5231,0.5052,1.5002,1.1776,0.9999,0.5034
V9_CURRENT,2024,13539,2.6972,0.5306,0.5094,1.5058,1.1914,1.0,0.5622
V9_CURRENT,2025,12121,2.6856,0.5375,0.5096,1.4746,1.211,1.0,0.5926
V9_CURRENT,2026,8993,2.7663,0.5532,0.5281,1.5424,1.2238,1.0,0.6779
INCREMENTAL,2019,936,2.813,0.5299,0.5406,1.6389,1.1741,0.9925,0.9925
INCREMENTAL,2020,3456,2.601,0.5026,0.4838,1.4077,1.1933,0.9534,0.9534
INCREMENTAL,2021,6655,2.5872,0.5107,0.4835,1.4026,1.1847,0.9156,0.9156
INCREMENTAL,2022,6184,2.6006,0.5039,0.4778,1.4379,1.1627,0.9039,0.9039
INCREMENTAL,2023,3674,2.681,0.5136,0.4984,1.4965,1.1845,0.9219,0.9194
INCREMENTAL,2024,821,2.8417,0.5518,0.5408,1.5238,1.3179,0.9781,0.961
INCREMENTAL,2025,815,2.8025,0.5411,0.5509,1.508,1.2945,0.9939,0.9877
INCREMENTAL,2026,547,2.8885,0.5941,0.5667,1.6216,1.2669,0.6453,0.6344
