spec,target,band,n,log_loss,brier,auc
without_EARLY,btts,opening 20%,3343,0.67463,0.24111,0.5848
without_EARLY,btts,middle 60%,8419,0.66992,0.239,0.5971
without_EARLY,btts,closing 20%,4908,0.66946,0.23881,0.5776
without_EARLY,over15,opening 20%,3343,0.55158,0.18363,0.5981
without_EARLY,over15,middle 60%,8419,0.54026,0.17892,0.6132
without_EARLY,over15,closing 20%,4908,0.51357,0.16707,0.6105
without_EARLY,over25,opening 20%,3343,0.6761,0.24168,0.5979
without_EARLY,over25,middle 60%,8419,0.67325,0.24035,0.6045
without_EARLY,over25,closing 20%,4908,0.67392,0.24065,0.5975
without_EARLY,over35,opening 20%,3343,0.58987,0.20123,0.6077
without_EARLY,over35,middle 60%,8419,0.58669,0.19986,0.6084
without_EARLY,over35,closing 20%,4908,0.60429,0.20752,0.5939
with_EARLY,btts,opening 20%,3343,0.67528,0.24146,0.5824
with_EARLY,btts,middle 60%,8419,0.67223,0.24015,0.5894
with_EARLY,btts,closing 20%,4908,0.67205,0.24011,0.5693
with_EARLY,over15,opening 20%,3343,0.5515,0.18352,0.5969
with_EARLY,over15,middle 60%,8419,0.54246,0.17976,0.6074
with_EARLY,over15,closing 20%,4908,0.51653,0.16819,0.598
with_EARLY,over25,opening 20%,3343,0.67815,0.24262,0.5936
with_EARLY,over25,middle 60%,8419,0.67297,0.2402,0.6064
with_EARLY,over25,closing 20%,4908,0.67416,0.24072,0.5979
with_EARLY,over35,opening 20%,3343,0.59014,0.20131,0.6066
with_EARLY,over35,middle 60%,8419,0.58596,0.19951,0.609
with_EARLY,over35,closing 20%,4908,0.60413,0.20742,0.5952
