target,band,n,market_gain,ci_lo,ci_hi,p,significant
btts,opening 20%,1795,0.00469,0.00154,0.00815,0.0256,True
btts,middle 60%,5137,0.00151,-0.00034,0.00343,0.182,False
btts,closing 20%,2078,0.00069,-0.00234,0.00365,0.7136,False
over15,opening 20%,1795,0.00337,-0.00125,0.00785,0.2188,False
over15,middle 60%,5137,0.00217,-0.00055,0.00484,0.188,False
over15,closing 20%,2078,0.00716,0.00341,0.0108,0.0008,True
over25,opening 20%,1795,0.00475,-0.00048,0.01,0.1376,False
over25,middle 60%,5137,0.00593,0.0029,0.00885,0.0008,True
over25,closing 20%,2078,0.00633,0.00084,0.01169,0.0552,True
over35,opening 20%,1795,0.00296,-0.00237,0.00835,0.3672,False
over35,middle 60%,5137,0.00161,-0.00115,0.00472,0.358,False
over35,closing 20%,2078,0.00667,0.00168,0.01191,0.0292,True
