target,band,n,gain_from_EARLY,ci_lo,ci_hi,p_value,significant
btts,opening 20%,3343,-0.000658,-0.002698,0.001445,0.6007,False
btts,middle 60%,8419,-0.002311,-0.003593,-0.001002,0.003,True
btts,closing 20%,4908,-0.002585,-0.004429,-0.000737,0.018,True
over15,opening 20%,3343,8.1e-05,-0.002085,0.002329,0.948,False
over15,middle 60%,8419,-0.002205,-0.003626,-0.000865,0.0133,True
over15,closing 20%,4908,-0.002968,-0.004824,-0.001104,0.0087,True
over25,opening 20%,3343,-0.002053,-0.003727,-0.000331,0.0517,True
over25,middle 60%,8419,0.000272,-0.00078,0.001309,0.6623,False
over25,closing 20%,4908,-0.000238,-0.001742,0.001273,0.7957,False
over35,opening 20%,3343,-0.000268,-0.002112,0.001641,0.81,False
over35,middle 60%,8419,0.000728,-0.000473,0.001831,0.2967,False
over35,closing 20%,4908,0.000154,-0.001471,0.001805,0.8787,False
