label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,variant,target,mode,note,train_rows,test_rows,group
Q_MARKET_complete_only/btts,6346,0.5463283958398991,0.5463283958398991,0.5461708162622124,-0.015757957768669506,0.5233811715341583,0.5707641196013289,0.4955292760311509,0.5304925119654161,0.45999999999999996,0.6893057449354515,0.24809228832252417,0.531400663207398,0.5769190756663781,0.02760737756783266,0.6888483765928052,0.2478536797389016,1.0.0,-0.00045736834264631376,-0.0002386085836225682,0.5200000000000005,0.5316734951150331,1718,1292,1749,1587,Q_MARKET_complete_only,btts,universe,only fixtures reaching the MARKET completeness tier,25315,6346,completeness
Q_MARKET_complete_only/over15,6346,0.7571698707847463,0.7571698707847463,0.7571698707847463,0.0,0.523070414565187,0.7679935665460395,0.7950052029136316,0.7812659781163719,0.5,0.5498577091447236,0.1823519687779127,0.5649571443330783,0.8008887244190337,0.012656553972661796,0.5543202624714727,0.1838636575605569,1.0.0,0.0044625533267490525,0.0015116887826441827,0.7000000000000004,0.7571698707847463,3820,1154,985,387,Q_MARKET_complete_only,over15,universe,only fixtures reaching the MARKET completeness tier,25315,6346,completeness
Q_MARKET_complete_only/over25,6346,0.5206429246769618,0.5206429246769618,0.5441222817522849,2.3479357075323115,0.5424901858246056,0.5598253275109171,0.5820217917675545,0.5707078201513578,0.49000000000000016,0.6867242141177359,0.24681079538428088,0.5636436936958449,0.5800940273837311,0.014595282066570847,0.6922946776001921,0.2495738696607813,1.0.0,0.005570463482456267,0.00276307427650041,0.49000000000000016,0.5472738733060195,1923,1512,1381,1530,Q_MARKET_complete_only,over25,universe,only fixtures reaching the MARKET completeness tier,25315,6346,completeness
Q_MARKET_complete_only/over35,6346,0.2901040025212732,0.7098959974787268,0.7105263157894737,0.06303183107468913,0.5361819596911152,0.34022257551669316,0.34872351982618144,0.3444206008583691,0.42999999999999994,0.596820189008528,0.2036003286501481,0.5622089283378177,0.3494697700646594,0.016099225333186317,0.6022447785264878,0.20594367024241034,1.0.0,0.005424589517959877,0.002343341592262238,0.31000000000000005,0.7098959974787268,642,1245,1199,3260,Q_MARKET_complete_only,over35,universe,only fixtures reaching the MARKET completeness tier,25315,6346,completeness
Q_STANDARD_PLUS_complete_only/btts,6346,0.5463283958398991,0.5463283958398991,0.5436495430192247,-0.2678852820674371,0.5356901016711628,0.5977116704805492,0.376694548601096,0.462137296532201,0.49000000000000016,0.6859693667273388,0.24643184990956138,0.5469144746181759,0.5893647980994219,0.013110610561223866,0.6888483765928052,0.2478536797389016,1.0.0,0.0028790098654664087,0.001421829829340221,0.5500000000000005,0.5431768042861645,1306,879,2161,2000,Q_STANDARD_PLUS_complete_only,btts,universe,only fixtures reaching the STANDARD_PLUS completeness tier,41772,6346,completeness
Q_STANDARD_PLUS_complete_only/over15,6346,0.7571698707847463,0.7571698707847463,0.7571698707847463,0.0,0.5231843317007687,0.7676124300328122,0.8276795005202914,0.7965151211696375,0.5,0.5491630259966374,0.18206961568380797,0.5693150318623594,0.8022262311781738,0.012829668519292122,0.5543202624714727,0.1838636575605569,1.0.0,0.005157236474835347,0.0017940418767489197,0.7000000000000004,0.7571698707847463,3977,1204,828,337,Q_STANDARD_PLUS_complete_only,over15,universe,only fixtures reaching the STANDARD_PLUS completeness tier,41772,6346,completeness
Q_STANDARD_PLUS_complete_only/over25,6346,0.5206429246769618,0.5206429246769618,0.547589032461393,2.6946107784431184,0.5479179302516981,0.5690590111642744,0.5399515738498789,0.554123311073148,0.5,0.685766131559831,0.2463667912969169,0.5664137307716186,0.5869516723690247,0.016882621373403888,0.6922946776001921,0.2495738696607813,1.0.0,0.006528546040361127,0.003207078363864385,0.5,0.547589032461393,1784,1351,1520,1691,Q_STANDARD_PLUS_complete_only,over25,universe,only fixtures reaching the STANDARD_PLUS completeness tier,41772,6346,completeness
Q_STANDARD_PLUS_complete_only/over35,6346,0.2901040025212732,0.7098959974787268,0.7094232587456666,-0.04727387330601962,0.5413589583907312,0.3380656610470275,0.41390548614883216,0.3721611721611721,0.5800000000000002,0.5971741149297995,0.2037853273044964,0.5634343155441386,0.34619094222055147,0.017194714800825406,0.6022447785264878,0.20594367024241034,1.0.0,0.005070663596688285,0.0021583429379139485,0.29999999999999993,0.7108414749448472,762,1492,1079,3013,Q_STANDARD_PLUS_complete_only,over35,universe,only fixtures reaching the STANDARD_PLUS completeness tier,41772,6346,completeness
Q_STANDARD_complete_only/btts,6346,0.5463283958398991,0.5463283958398991,0.5381342578001891,-0.819413803971003,0.5280144463358337,0.5759408602150538,0.4943755408133833,0.5320502871333229,0.5,0.6870881911473812,0.24700958433095294,0.5420028847387861,0.5898416162104729,0.018623044965453976,0.6888483765928052,0.2478536797389016,1.0.0,0.0017601854454240007,0.000844095407948664,0.5300000000000002,0.5381342578001891,1714,1262,1753,1617,Q_STANDARD_complete_only,btts,universe,only fixtures reaching the STANDARD completeness tier,44220,6346,completeness
Q_STANDARD_complete_only/over15,6346,0.7571698707847463,0.7571698707847463,0.7571698707847463,0.0,0.5420737105316291,0.7773887973640856,0.785639958376691,0.7814925991098229,0.5500000000000005,0.5473248215654298,0.1814139577305005,0.580212991955573,0.8080924372300134,0.014383888362841329,0.5543202624714727,0.1838636575605569,1.0.0,0.006995440906042871,0.0024496998300563844,0.7000000000000004,0.7571698707847463,3775,1081,1030,460,Q_STANDARD_complete_only,over15,universe,only fixtures reaching the STANDARD completeness tier,44220,6346,completeness
