label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,variant,target,mode,note,train_rows,test_rows,group
A_v9_current/btts,11239,0.5479135154373165,0.5479135154373165,0.5675771865824362,1.9663671145119688,0.5564565471642599,0.5993778650949574,0.5945112049366678,0.5969346160117398,0.4800000000000002,0.6679435453030671,0.23832380491743776,0.5901285821206682,0.6494115121713169,0.017414470506781743,0.6885487176829643,0.24770429503843802,1.0.0,0.02060517237989723,0.009380490121000257,0.5300000000000002,0.5711362220838153,3661,2447,2497,2634,A_v9_current,btts,universe,"the champion dataset, exactly as v9 builds it",44453,11239,core
A_v9_current/over15,11239,0.7601210072070469,0.7601210072070469,0.7617225731826675,0.16015659756205558,0.5619307467442587,0.790461391345924,0.7740840454173007,0.7821870010053817,0.5100000000000001,0.5361884421730834,0.17694723458044648,0.6102018467581177,0.8260875153740265,0.013145288622537991,0.5509404054151366,0.18233706160959146,1.0.0,0.01475196324205319,0.005389827029144978,0.7000000000000003,0.761811549070202,6613,1753,1930,943,A_v9_current,over15,universe,"the champion dataset, exactly as v9 builds it",44453,11239,core
A_v9_current/over25,11239,0.5249577364534211,0.5249577364534211,0.568288993682712,4.333125722929088,0.5645147316992645,0.5832393231265108,0.6133898305084746,0.5979347377116894,0.4800000000000002,0.6747896411448833,0.2411506802805123,0.5979428636734486,0.6177643510470836,0.01662424163989938,0.6919008855056346,0.2493771113911216,1.0.0,0.017111244360751288,0.008226431110609306,0.5,0.5669543553696949,3619,2586,2281,2753,A_v9_current,over25,universe,"the champion dataset, exactly as v9 builds it",44453,11239,core
A_v9_current/over35,11239,0.2949550671767951,0.7050449328232049,0.7080701129993772,0.30251801761722596,0.5688823422818434,0.37235576923076924,0.46726998491704375,0.41444816053511707,0.4700000000000001,0.5907871999958937,0.20146067639637807,0.6028469936493216,0.3918461826656039,0.01264379038014169,0.6065289465410888,0.20795657552352742,1.0.0,0.015741746545195112,0.006495899127149346,0.29999999999999993,0.7075362576741703,1549,2611,1766,5313,A_v9_current,over35,universe,"the champion dataset, exactly as v9 builds it",44453,11239,core
B_canonical_full/btts,11239,0.5479135154373165,0.5479135154373165,0.5687338731203844,2.082035768306789,0.5519104473108875,0.5945466279444982,0.5984085742124067,0.5964713499514406,0.5,0.6708614955362959,0.23948219872563237,0.5870888680351352,0.6429344838084042,0.017953960149728294,0.6885487176829643,0.24770429503843802,1.0.0,0.017687222146668402,0.008222096312805655,0.5300000000000002,0.5687338731203844,3685,2513,2473,2568,B_canonical_full,btts,universe,everything,62833,11239,core
B_canonical_full/over15,11239,0.7601210072070469,0.7601210072070469,0.761989500845271,0.18684936382240558,0.5595613185313882,0.7873813512004467,0.8253540910687113,0.80592067664876,0.5600000000000005,0.5343458452562412,0.17617374533460903,0.6159577695796895,0.8292337987436904,0.011670508911605273,0.5509404054151366,0.18233706160959146,1.0.0,0.016594560158895377,0.006163316274982428,0.7000000000000003,0.7627902838330812,7051,1904,1492,792,B_canonical_full,over15,universe,everything,62833,11239,core
B_canonical_full/over25,11239,0.5249577364534211,0.5249577364534211,0.5671323071447638,4.217457069134268,0.5642389865428998,0.5820516885999683,0.6222033898305085,0.6014581797329401,0.5,0.6729552327479659,0.24024507167068546,0.6031548471274695,0.6237384400107698,0.012564927502755893,0.6919008855056346,0.2493771113911216,1.0.0,0.018945652757668685,0.009132039720436136,0.5,0.5671323071447638,3671,2636,2229,2703,B_canonical_full,over25,universe,everything,62833,11239,core
B_canonical_full/over35,11239,0.2949550671767951,0.7050449328232049,0.7085149924370495,0.34700596138446116,0.5681174018941635,0.37177322074788904,0.46485671191553546,0.4131367292225201,0.4700000000000001,0.5888926700520309,0.20070147985290834,0.6070730765804555,0.39791490962773385,0.0160526087692943,0.6065289465410888,0.20795657552352742,1.0.0,0.017636276489057856,0.007255095670619077,0.29999999999999993,0.7088708959871874,1541,2604,1774,5320,B_canonical_full,over35,universe,everything,62833,11239,core
C_v9_plus_recent_incremental/btts,11239,0.5479135154373165,0.5479135154373165,0.5710472461962808,2.31337307589643,0.5632991717994409,0.6266190263510496,0.4556674244884703,0.5276419706656639,0.4900000000000002,0.6660573242807026,0.2374508514871622,0.5957725828905285,0.653098597058895,0.019268070234844302,0.6885487176829643,0.24770429503843802,1.0.0,0.022491393402261695,0.010253443551275832,0.5500000000000004,0.5695346561081946,2806,1672,3352,3409,C_v9_plus_recent_incremental,btts,universe,incremental fixtures newer than 3 years,45160,11239,core
C_v9_plus_recent_incremental/over15,11239,0.7601210072070469,0.7601210072070469,0.7613666696325296,0.12456624254827409,0.5623330578317196,0.7897483474428854,0.7971438604705607,0.7934288710241174,0.5400000000000001,0.5347738654185138,0.17657284432610593,0.6128753094400087,0.8312748462243116,0.015083494010285112,0.5509404054151366,0.18233706160959146,1.0.0,0.016166539996622764,0.005764217283485529,0.7000000000000003,0.7622564285078743,6810,1813,1733,883,C_v9_plus_recent_incremental,over15,universe,incremental fixtures newer than 3 years,45160,11239,core
