variant,baseline,target,mean_diff,ci_lo,ci_hi,p_value,significant,direction
B_canonical_full,A_v9_current,btts,-0.0029179502332287964,-0.0044933815747363074,-0.0014105389101233122,0.0005,True,baseline better
B_canonical_full,A_v9_current,over15,0.0018425969168422267,-5.08581169884354e-05,0.0037951248179129505,0.1175,False,variant better
B_canonical_full,A_v9_current,over25,0.0018344083969173476,0.0003085900321243749,0.0033549269976298536,0.0435,True,variant better
B_canonical_full,A_v9_current,over35,0.0018945299438629267,0.00047806438184489516,0.0032695766850536416,0.0285,True,variant better
C_v9_plus_recent_incremental,A_v9_current,btts,0.0018862210223643946,0.0006135458046453962,0.0031430239735496467,0.013,True,variant better
C_v9_plus_recent_incremental,A_v9_current,over15,0.0014145767545696286,-0.00010274995392480716,0.002953941462001404,0.1255,False,variant better
C_v9_plus_recent_incremental,A_v9_current,over25,-3.930194232238956e-05,-0.001427401247936819,0.001381618259516847,0.968,False,baseline better
C_v9_plus_recent_incremental,A_v9_current,over35,0.0008713928604111808,-0.0004826576409122412,0.0020882904183003887,0.2575,False,variant better
D_v9_plus_hq_incremental,A_v9_current,btts,-0.00369377380994796,-0.005067289059038015,-0.002309688637331163,0.0,True,baseline better
D_v9_plus_hq_incremental,A_v9_current,over15,-0.0001284298241389534,-0.0020784012832434796,0.0017801437200130564,0.9105,False,baseline better
D_v9_plus_hq_incremental,A_v9_current,over25,0.0011841120703421728,-0.0006572422394722255,0.002946903019538122,0.2775,False,variant better
D_v9_plus_hq_incremental,A_v9_current,over35,0.0008141373149586945,-0.0006295312068321889,0.0022311849384327913,0.3485,False,variant better
E_v9_plus_recent_hq,A_v9_current,btts,-0.001045019691273229,-0.0022148042251811904,8.949845748794319e-05,0.131,False,baseline better
E_v9_plus_recent_hq,A_v9_current,over15,0.0008708673185196748,-0.0006892956416924656,0.0024685572913598214,0.369,False,variant better
E_v9_plus_recent_hq,A_v9_current,over25,0.0006905834807164488,-0.0006372532594217229,0.0020613698038857414,0.402,False,variant better
E_v9_plus_recent_hq,A_v9_current,over35,-0.00148872457127017,-0.0028206638668940138,-0.00011984728251468583,0.0715,True,baseline better
