label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,variant,target,mode,note,train_rows,test_rows,group
X_dupes_as_v9_does/btts,11239,0.5479135154373165,0.5479135154373165,0.5700685114334015,2.215499599608506,0.5582735233229477,0.6072408118486012,0.539298473530367,0.5712565580115249,0.4500000000000001,0.6685187045067597,0.23859539739627245,0.5884190885185171,0.6492656339030494,0.01784741072055309,0.6885487176829643,0.24770429503843802,1.0.0,0.020030013176204675,0.009108897642165575,0.5400000000000001,0.5654417652816087,3321,2148,2837,2933,X_dupes_as_v9_does,btts,fit_dupes,v9's actual behaviour: duplicate rows retained,44453,11239,dupes
X_dupes_as_v9_does/over15,11239,0.7601210072070469,0.7601210072070469,0.7629682356081502,0.28472284011032967,0.5646262440556431,0.7908027336962817,0.7991337937492684,0.7949464368886819,0.5200000000000004,0.5344270596084721,0.17625239207167057,0.6152638632770995,0.8294029327510124,0.01338225935457328,0.5509404054151366,0.18233706160959146,1.0.0,0.016513345806664415,0.006084669537920889,0.7000000000000003,0.7626123320580123,6827,1806,1716,890,X_dupes_as_v9_does,over15,fit_dupes,v9's actual behaviour: duplicate rows retained,44453,11239,dupes
X_dupes_as_v9_does/over25,11239,0.5249577364534211,0.5249577364534211,0.5732716433846428,4.831390693122161,0.5652893006688868,0.6007454959618969,0.4916949152542373,0.540777332463417,0.5,0.6735891411838919,0.24054445829552035,0.6008069180732759,0.6202500275288826,0.015808508042100138,0.6919008855056346,0.2493771113911216,1.0.0,0.01831174432174265,0.008832653095601245,0.5300000000000002,0.5732716433846428,2901,1928,2999,3411,X_dupes_as_v9_does,over25,fit_dupes,v9's actual behaviour: duplicate rows retained,44453,11239,dupes
X_dupes_as_v9_does/over35,11239,0.2949550671767951,0.7050449328232049,0.7092267995373254,0.41818667141204635,0.5728011889724631,0.3903054076772205,0.420211161387632,0.4047065659500291,0.4700000000000001,0.5897463897114109,0.2010056442267784,0.6062523079359496,0.39707637922489164,0.013468312589339173,0.6065289465410888,0.20795657552352742,1.0.0,0.016782556829677886,0.006950931296749008,0.31,0.7093157754248599,1393,2176,1922,5748,X_dupes_as_v9_does,over35,fit_dupes,v9's actual behaviour: duplicate rows retained,44453,11239,dupes
X_dupes_removed/btts,11239,0.5479135154373165,0.5479135154373165,0.5691787525580567,2.1265237120740244,0.5451183359616435,0.5775029446407538,0.7962000649561546,0.6694429273620972,0.4900000000000002,0.668061331710578,0.2384134903924432,0.589109862897258,0.6497822198757057,0.017560511943230297,0.6885487176829643,0.24770429503843802,1.0.0,0.020487385972386307,0.009290804645994827,0.4900000000000002,0.5702464632084705,4903,3587,1255,1494,X_dupes_removed,btts,fit,one row per canonical fixture,44453,11239,dupes
X_dupes_removed/over15,11239,0.7601210072070469,0.7601210072070469,0.761811549070202,0.16905418631550928,0.5628802981669621,0.7900918711478079,0.7952709820906005,0.7926729669816825,0.5100000000000001,0.5350152075755538,0.17651673679604146,0.6141701207124302,0.8290355673722386,0.013437874484162593,0.5509404054151366,0.18233706160959146,1.0.0,0.015925197839582794,0.005820324813549993,0.7000000000000003,0.761989500845271,6794,1805,1749,891,X_dupes_removed,over15,fit,one row per canonical fixture,44453,11239,dupes
X_dupes_removed/over25,11239,0.5249577364534211,0.5249577364534211,0.5710472461962808,4.608950974285964,0.5666423598655241,0.5911103240658757,0.5657627118644067,0.5781588291331082,0.5,0.6729020415724916,0.24023625811880478,0.6019702159675684,0.6217866261335144,0.01096413823683292,0.6919008855056346,0.2493771113911216,1.0.0,0.018998843933142995,0.009140853272316812,0.5200000000000004,0.5710472461962808,3338,2309,2562,3030,X_dupes_removed,over25,fit,one row per canonical fixture,44453,11239,dupes
X_dupes_removed/over35,11239,0.2949550671767951,0.7050449328232049,0.7093157754248599,0.42708426016550005,0.568118524931038,0.3760183299389002,0.4455505279034691,0.4078420543973492,0.5,0.5910004373153932,0.20147473175189473,0.6019291489360082,0.3941533622632458,0.015697046807866658,0.6065289465410888,0.20795657552352742,1.0.0,0.015528509225695597,0.006481843771632689,0.29999999999999993,0.7093157754248599,1477,2451,1838,5473,X_dupes_removed,over35,fit,one row per canonical fixture,44453,11239,dupes
X_dupes_as_weights/btts,11239,0.5479135154373165,0.5479135154373165,0.5700685114334015,2.215499599608506,0.5582735233229477,0.6072408118486012,0.539298473530367,0.5712565580115249,0.4500000000000001,0.6685187045067597,0.23859539739627245,0.5884190885185171,0.6492656339030494,0.01784741072055309,0.6885487176829643,0.24770429503843802,1.0.0,0.020030013176204675,0.009108897642165575,0.5400000000000001,0.5654417652816087,3321,2148,2837,2933,X_dupes_as_weights,btts,fit_dupeweight,"deduplicated, but duplicated fixtures weighted 2x",44453,11239,dupes
X_dupes_as_weights/over15,11239,0.7601210072070469,0.7601210072070469,0.7629682356081502,0.28472284011032967,0.5646262440556431,0.7908027336962817,0.7991337937492684,0.7949464368886819,0.5200000000000004,0.5344270596084721,0.17625239207167057,0.6152638632770995,0.8294029327510124,0.01338225935457328,0.5509404054151366,0.18233706160959146,1.0.0,0.016513345806664415,0.006084669537920889,0.7000000000000003,0.7626123320580123,6827,1806,1716,890,X_dupes_as_weights,over15,fit_dupeweight,"deduplicated, but duplicated fixtures weighted 2x",44453,11239,dupes
