label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,variant,target,mode,note,train_rows,test_rows,group
R_halflife_180d/btts,15040,0.5496010638297872,0.5496010638297872,0.5601063829787234,1.0505319148936154,0.5440206469692297,0.5888982136434481,0.5942414710863779,0.5915577768410912,0.49000000000000016,0.6774612534042205,0.24266075026098752,0.5697095775674358,0.6293827481433449,0.022502809117612276,0.6882185470142603,0.24753973446695343,1.0.0,0.010757293610039853,0.004878984205965914,0.5300000000000002,0.5582446808510638,4912,3429,3354,3345,R_halflife_180d,btts,fit,"exponential decay, half-life 180 days",59899,15040,recency
R_halflife_180d/over15,15040,0.760904255319149,0.760904255319149,0.760970744680851,0.00664893617020601,0.5477264827632862,0.7831417624521073,0.8037399510660608,0.7933071715037302,0.29999999999999993,0.5470270838686021,0.18062684782853322,0.5853794402028896,0.8110650049675041,0.029199941947814893,0.5500353681375699,0.18192896955636037,1.0.0,0.00300828426896782,0.001302121727827149,0.7000000000000005,0.7595744680851064,9198,2547,2246,1049,R_halflife_180d,over15,fit,"exponential decay, half-life 180 days",59899,15040,recency
R_halflife_180d/over25,15040,0.5242021276595744,0.5242021276595744,0.5579787234042554,3.377659574468095,0.5541211881958606,0.5705640557204841,0.6338153221714865,0.6005287825982454,0.5,0.6863262838551604,0.24644309418420088,0.5801750451416983,0.601023431745003,0.041607293941256014,0.6919752367043898,0.24941425701674966,1.0.0,0.005648952849229394,0.0029711628325487793,0.5,0.5579787234042554,4997,3761,2887,3395,R_halflife_180d,over25,fit,"exponential decay, half-life 180 days",59899,15040,recency
R_halflife_180d/over35,15040,0.29527925531914895,0.704720744680851,0.7064494680851063,0.1728723404255339,0.5605998271643824,0.3635872501350621,0.4546273361855438,0.4040424254552732,0.51,0.5961010931528323,0.20350133450319827,0.591993878754478,0.3826801585897256,0.026462862292705037,0.6068112039330129,0.2080894166973177,1.0.0,0.010710110780180582,0.004588082194119436,0.29999999999999993,0.7053191489361702,2019,3534,2422,7065,R_halflife_180d,over35,fit,"exponential decay, half-life 180 days",59899,15040,recency
R_halflife_365d/btts,15040,0.5496010638297872,0.5496010638297872,0.5636303191489361,1.4029255319148892,0.5522924610837855,0.600207954250065,0.5586740866198887,0.5786967418546365,0.45999999999999996,0.673048067526158,0.24067229588572372,0.5779511740960852,0.63667422446779,0.02046921276567531,0.6882185470142603,0.24753973446695343,1.0.0,0.01517047948810235,0.006867438581229707,0.5400000000000001,0.565093085106383,4618,3076,3648,3698,R_halflife_365d,btts,fit,"exponential decay, half-life 365 days",59899,15040,recency
R_halflife_365d/over15,15040,0.760904255319149,0.760904255319149,0.7612367021276596,0.03324468085106336,0.5516090541395368,0.7854289683918028,0.7903704998252359,0.7878919860627178,0.40000000000000013,0.5389093385529817,0.17806834754850548,0.5993956545759999,0.8224937838956371,0.011892367681665806,0.5500353681375699,0.18192896955636037,1.0.0,0.011126029584588193,0.0038606220078548914,0.7000000000000005,0.7611037234042554,9045,2471,2399,1125,R_halflife_365d,over15,fit,"exponential decay, half-life 365 days",59899,15040,recency
R_halflife_365d/over25,15040,0.5242021276595744,0.5242021276595744,0.5675531914893617,4.335106382978726,0.5633149363365219,0.6029509283819628,0.4613140537798072,0.5227076746191435,0.5,0.67816431362112,0.24272797536461077,0.5936831152039962,0.61549709766124,0.02074699488587516,0.6919752367043898,0.24941425701674966,1.0.0,0.01381092308326981,0.006686281652138887,0.5300000000000002,0.5675531914893617,3637,2395,4247,4761,R_halflife_365d,over25,fit,"exponential decay, half-life 365 days",59899,15040,recency
R_halflife_365d/over35,15040,0.29527925531914895,0.704720744680851,0.7075797872340426,0.2859042553191582,0.5646466586186802,0.3672416859327761,0.46498536365683407,0.4103736089030207,0.5500000000000005,0.59420342514751,0.2027866673078253,0.5949000087295222,0.3871000632840075,0.02271960241577688,0.6068112039330129,0.2080894166973177,1.0.0,0.012607778785502899,0.005302749389492406,0.29999999999999993,0.7086436170212767,2065,3558,2376,7041,R_halflife_365d,over35,fit,"exponential decay, half-life 365 days",59899,15040,recency
R_halflife_730d/btts,15040,0.5496010638297872,0.5496010638297872,0.5718085106382979,2.220744680851061,0.5525636335568364,0.5919316461172399,0.6621098475683523,0.6250571037003197,0.5,0.670625079537205,0.23947227511681973,0.58476458786106,0.6433543133068758,0.018290338119032277,0.6882185470142603,0.24753973446695343,1.0.0,0.01759346747705537,0.008067459350133699,0.5200000000000005,0.5718085106382979,5473,3773,2793,3001,R_halflife_730d,btts,fit,"exponential decay, half-life 730 days",59899,15040,recency
R_halflife_730d/over15,15040,0.760904255319149,0.760904255319149,0.7617686170212766,0.08643617021276695,0.5618507339896479,0.7905429071803853,0.788885005242922,0.7897130860741777,0.5200000000000005,0.5349632668649436,0.1765376821090096,0.6118499029369305,0.8292134076025286,0.013082563726893294,0.5500353681375699,0.18192896955636037,1.0.0,0.01507210127262637,0.005391287447350762,0.7000000000000005,0.7624335106382979,9028,2392,2416,1204,R_halflife_730d,over15,fit,"exponential decay, half-life 730 days",59899,15040,recency
R_halflife_730d/over25,15040,0.5242021276595744,0.5242021276595744,0.5694148936170212,4.521276595744683,0.5671907272556598,0.585230024213075,0.6131405377980721,0.5988602576808721,0.49000000000000016,0.6759780597833467,0.24169338415905056,0.5991011824898705,0.6196934012859407,0.020720758628242342,0.6919752367043898,0.24941425701674966,1.0.0,0.015997176921043077,0.007720872857699096,0.49000000000000016,0.566622340425532,4834,3426,3050,3730,R_halflife_730d,over25,fit,"exponential decay, half-life 730 days",59899,15040,recency
R_halflife_730d/over35,15040,0.29527925531914895,0.704720744680851,0.7083111702127659,0.3590425531914909,0.5669341907258056,0.3680917622523462,0.4769196126998424,0.41549779303580187,0.5300000000000002,0.5908210491773646,0.20147744336311024,0.6014445585365454,0.39386106085874756,0.0136862246667733,0.6068112039330129,0.2080894166973177,1.0.0,0.015990154755648356,0.0066119733342074605,0.29999999999999993,0.7087101063829787,2118,3636,2323,6963,R_halflife_730d,over35,fit,"exponential decay, half-life 730 days",59899,15040,recency
R_linear_decay/btts,15040,0.5496010638297872,0.5496010638297872,0.569281914893617,1.9680851063829774,0.5537527455677124,0.5953169617361508,0.6305347205419792,0.6124199518242172,0.49000000000000016,0.6715803084148588,0.23998846125637868,0.5829524345908921,0.6401233395284495,0.02369551174739095,0.6882185470142603,0.24753973446695343,1.0.0,0.0166382385994015,0.007551273210574749,0.5200000000000005,0.5683510638297873,5212,3543,3054,3231,R_linear_decay,btts,fit,linear decay from oldest to newest,59899,15040,recency
R_linear_decay/over15,15040,0.760904255319149,0.760904255319149,0.7617021276595745,0.07978723404254984,0.5641146965500912,0.7914778668525618,0.7936910171268787,0.7925828970331588,0.5300000000000002,0.5355149473703784,0.17675513086501976,0.6093902298915375,0.828446756589053,0.012911443477598152,0.5500353681375699,0.18192896955636037,1.0.0,0.014520420767191511,0.00517383869134061,0.7000000000000005,0.7622340425531915,9083,2393,2361,1203,R_linear_decay,over15,fit,linear decay from oldest to newest,59899,15040,recency
R_linear_decay/over25,15040,0.5242021276595744,0.5242021276595744,0.5673537234042553,4.315159574468086,0.5682167845157806,0.6113002042205582,0.45560629122272955,0.522093023255814,0.5,0.6751496575735618,0.24128228640733004,0.6002643593423818,0.6206160370391932,0.019093990971051605,0.6919752367043898,0.24941425701674966,1.0.0,0.01682557913082794,0.008131970609419614,0.5300000000000002,0.5673537234042553,3592,2284,4292,4872,R_linear_decay,over25,fit,linear decay from oldest to newest,59899,15040,recency
R_linear_decay/over35,15040,0.29527925531914895,0.704720744680851,0.7075132978723404,0.2792553191489411,0.5674247138192161,0.3668588873812754,0.48705246566088717,0.41849666247460576,0.5400000000000001,0.5908027283889156,0.20148730548010166,0.6036759510415081,0.3930957509366451,0.015791523158542355,0.6068112039330129,0.2080894166973177,1.0.0,0.016008475544097345,0.0066021112172160445,0.29999999999999993,0.7089760638297873,2163,3733,2278,6866,R_linear_decay,over35,fit,linear decay from oldest to newest,59899,15040,recency
R_none/btts,15040,0.5496010638297872,0.5496010638297872,0.5725398936170213,2.293882978723405,0.5511585872485645,0.5864269141531323,0.7338495039922575,0.6519075765717357,0.5,0.6703263858670492,0.23918880374288523,0.5904244113517826,0.6472799980751089,0.015724370233511042,0.6882185470142603,0.24753973446695343,1.0.0,0.01789216114721115,0.0083509307240682,0.51,0.5725398936170213,6066,4278,2200,2496,R_none,btts,fit,no weighting -- the control,59899,15040,recency
R_none/over15,15040,0.760904255319149,0.760904255319149,0.7625664893617021,0.1662234042553168,0.5588966088772371,0.7881606765327696,0.8144005592450192,0.8010657956938416,0.5600000000000004,0.5342816607562704,0.17621304626018192,0.6136710504778504,0.8311502670993683,0.013444107907852788,0.5500353681375699,0.18192896955636037,1.0.0,0.015753707381299553,0.0057159232961784545,0.7000000000000005,0.7627659574468085,9320,2505,2124,1091,R_none,over15,fit,no weighting -- the control,59899,15040,recency
R_none/over25,15040,0.5242021276595744,0.5242021276595744,0.5701462765957447,4.594414893617027,0.5704110170416823,0.5947389504606757,0.5649416539827499,0.579457490405256,0.51,0.6742087536984467,0.24084290560298344,0.6018549182543187,0.6205740065660501,0.017411755598555227,0.6919752367043898,0.24941425701674966,1.0.0,0.01776648300594308,0.00857135141376622,0.51,0.5743351063829787,4454,3035,3430,4121,R_none,over25,fit,no weighting -- the control,59899,15040,recency
R_none/over35,15040,0.29527925531914895,0.704720744680851,0.7085771276595745,0.38563829787234827,0.5701625949468324,0.36809815950920244,0.4998874127448773,0.4239877769289534,0.47,0.5895291097315715,0.20101096361671306,0.6062165840570031,0.3951549394348154,0.011194664825404434,0.6068112039330129,0.2080894166973177,1.0.0,0.017282094201441445,0.007078453080604646,0.29999999999999993,0.7081117021276596,2220,3811,2221,6788,R_none,over35,fit,no weighting -- the control,59899,15040,recency
