variant,baseline,target,mean_diff,ci_lo,ci_hi,p_value,significant,direction
R_halflife_180d,R_none,btts,-0.007134867537171333,-0.008856258531510147,-0.005351229429071645,0.0,True,baseline better
R_halflife_180d,R_none,over15,-0.012745423112331691,-0.015451976110629383,-0.010133480509859688,0.0,True,baseline better
R_halflife_180d,R_none,over25,-0.012117530156713659,-0.014598558920716391,-0.009621342823168842,0.0,True,baseline better
R_halflife_180d,R_none,over35,-0.006571983421260847,-0.008228868989475622,-0.004955795152292043,0.0,True,baseline better
R_halflife_365d,R_none,btts,-0.002721681659108884,-0.004143858771447243,-0.0011858874433875357,0.004,True,baseline better
R_halflife_365d,R_none,over15,-0.004627677796711417,-0.006341756423934174,-0.0029427042676019744,0.0,True,baseline better
R_halflife_365d,R_none,over25,-0.003955559922673123,-0.005442672541067837,-0.0023691266631510636,0.0,True,baseline better
R_halflife_365d,R_none,over35,-0.004674315415938617,-0.006252841477290692,-0.0032115622745148586,0.0,True,baseline better
R_halflife_730d,R_none,btts,-0.00029869367015592955,-0.0013525543451755769,0.0008356453128097729,0.6615,False,baseline better
R_halflife_730d,R_none,over15,-0.0006816061086732261,-0.0019651939392711475,0.0005920246952029192,0.383,False,baseline better
R_halflife_730d,R_none,over25,-0.0017693060848999796,-0.003028415631469449,-0.0005117456068079968,0.027,True,baseline better
R_halflife_730d,R_none,over35,-0.001291939445793119,-0.0023523784504212017,-0.0003343046247593194,0.0425,True,baseline better
R_linear_decay,R_none,btts,-0.001253922547809697,-0.0024185533608423494,1.33712305737379e-05,0.093,False,baseline better
R_linear_decay,R_none,over15,-0.0012332866141079742,-0.0023130403335192874,-0.00012345554093795495,0.07,True,baseline better
R_linear_decay,R_none,over25,-0.0009409038751151122,-0.0019793532672191232,0.00011113375645197355,0.142,False,baseline better
R_linear_decay,R_none,over35,-0.0012736186573440113,-0.002413028994485314,-0.0001787323648382645,0.062,True,baseline better
