label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,variant,target,mode,note,train_rows,test_rows,group
W_last_1y/btts,15040,0.5496010638297872,0.5496010638297872,0.5542553191489362,0.4654255319148981,0.5395763401588645,0.5870975951138822,0.5581901766271473,0.5722790697674418,0.45999999999999996,0.6869813075168609,0.24698962004946592,0.5608266252792894,0.6131491266782032,0.04660240538206899,0.6882185470142603,0.24753973446695343,1.0.0,0.0012372394973994005,0.0005501144174875072,0.5200000000000005,0.5479388297872341,4614,3245,3652,3529,W_last_1y,btts,fit,"canonical universe, fit only on the last 1 year(s)",11639,15040,window
W_last_1y/over15,15040,0.760904255319149,0.760904255319149,0.758311170212766,-0.25930851063830085,0.5572991408761687,0.7903331769122478,0.7358441104508913,0.7621159328476401,0.5300000000000002,0.543564486366406,0.1798965313770182,0.5880786848488689,0.8151576439017911,0.02551873029447785,0.5500353681375699,0.18192896955636037,1.0.0,0.00647088177116395,0.0020324381793421775,0.7000000000000005,0.7597074468085107,8421,2234,3023,1362,W_last_1y,over15,fit,"canonical universe, fit only on the last 1 year(s)",11639,15040,window
W_last_1y/over25,15040,0.5242021276595744,0.5242021276595744,0.5540558510638298,2.9853723404255406,0.5511536550524813,0.5695708712613784,0.6111111111111112,0.5896102306798019,0.4800000000000002,0.6870605378130443,0.24679841403361683,0.5786321129547811,0.597209399634381,0.03784757550363333,0.6919752367043898,0.24941425701674966,1.0.0,0.004914698891345437,0.0026158429831328323,0.4800000000000002,0.5537898936170212,4818,3641,3066,3515,W_last_1y,over25,fit,"canonical universe, fit only on the last 1 year(s)",11639,15040,window
W_last_1y/over35,15040,0.29527925531914895,0.704720744680851,0.7047872340425532,0.006648936170217112,0.5493256778673724,0.37516170763260026,0.3265030398558883,0.3491451962436793,0.59,0.6011442574540694,0.20545504417792876,0.582765484178628,0.3649763608733825,0.029246673971024907,0.6068112039330129,0.2080894166973177,1.0.0,0.005666946478943502,0.0026343725193889445,0.31999999999999995,0.7034574468085106,1450,2415,2991,8184,W_last_1y,over35,fit,"canonical universe, fit only on the last 1 year(s)",11639,15040,window
W_last_2y/btts,15040,0.5496010638297872,0.5496010638297872,0.5725398936170213,2.293882978723405,0.5508733239508801,0.5921392476137002,0.6379143479312848,0.6141750626055559,0.49000000000000016,0.6727272036910191,0.24027183933414303,0.5842487904571864,0.6411993125835199,0.018097449882655724,0.6882185470142603,0.24753973446695343,1.0.0,0.015491343323241202,0.007267895132810398,0.5200000000000005,0.5714095744680852,5273,3632,2993,3142,W_last_2y,btts,fit,"canonical universe, fit only on the last 2 year(s)",23827,15040,window
W_last_2y/over15,15040,0.760904255319149,0.760904255319149,0.7617686170212766,0.08643617021276695,0.5558804707082591,0.7864174870682463,0.8236630548759175,0.8046094750320103,0.5500000000000005,0.5375468974314322,0.17748534742910774,0.5996187873706426,0.8238363834988978,0.008452106480576548,0.5500353681375699,0.18192896955636037,1.0.0,0.012488470706137678,0.004443622127252633,0.7000000000000005,0.7610372340425532,9426,2560,2018,1036,W_last_2y,over15,fit,"canonical universe, fit only on the last 2 year(s)",23827,15040,window
W_last_2y/over25,15040,0.5242021276595744,0.5242021276595744,0.5612367021276595,3.7034574468085113,0.5652319164497852,0.5979505726341169,0.5032978183663115,0.546556473829201,0.51,0.6776794403201637,0.24244520594765523,0.592590288359525,0.6111507707956569,0.009395661738624772,0.6919752367043898,0.24941425701674966,1.0.0,0.014295796384226067,0.0069690510690944285,0.5300000000000002,0.5658244680851063,3968,2668,3916,4488,W_last_2y,over25,fit,"canonical universe, fit only on the last 2 year(s)",23827,15040,window
W_last_2y/over35,15040,0.29527925531914895,0.704720744680851,0.706781914893617,0.20611702127659726,0.5601905445018786,0.3857794859476339,0.361630263454177,0.37331473733147374,0.5600000000000004,0.5938130064611709,0.2026607926949874,0.5946267995398103,0.3844983201878612,0.01662597226701359,0.6068112039330129,0.2080894166973177,1.0.0,0.012998197471842055,0.005428624002330296,0.31999999999999995,0.7071143617021277,1606,2557,2835,8042,W_last_2y,over35,fit,"canonical universe, fit only on the last 2 year(s)",23827,15040,window
W_last_3y/btts,15040,0.5496010638297872,0.5496010638297872,0.5711436170212766,2.1542553191489344,0.5532492262904999,0.593014343589182,0.6552141301717881,0.622564515202023,0.45999999999999996,0.6687247914364163,0.23876688084556436,0.5873587997574878,0.6432895429634277,0.01742766577650854,0.6882185470142603,0.24753973446695343,1.0.0,0.019493755577844052,0.008772853621389076,0.5200000000000005,0.5686835106382979,5416,3717,2850,3057,W_last_3y,btts,fit,"canonical universe, fit only on the last 3 year(s)",34945,15040,window
W_last_3y/over15,15040,0.760904255319149,0.760904255319149,0.761502659574468,0.0598404255319096,0.5558509221671989,0.7871755200275056,0.8002446696959106,0.7936562960395183,0.5300000000000002,0.5364936401192879,0.17711642250474252,0.6053596242125411,0.8262999022128347,0.011693643792219826,0.5500353681375699,0.18192896955636037,1.0.0,0.013541728018282018,0.004812547051617849,0.7000000000000005,0.7617686170212766,9158,2476,2286,1120,W_last_3y,over15,fit,"canonical universe, fit only on the last 3 year(s)",34945,15040,window
W_last_3y/over25,15040,0.5242021276595744,0.5242021276595744,0.5680186170212767,4.381648936170224,0.5623468394004854,0.5861475301284598,0.5613901572805683,0.573501781665047,0.5,0.6764671128012177,0.24192098317681768,0.5937173064777451,0.6133149523916777,0.009005155693078783,0.6919752367043898,0.24941425701674966,1.0.0,0.015508123903172022,0.00749327383993198,0.5200000000000005,0.5680186170212767,4426,3125,3458,4031,W_last_3y,over25,fit,"canonical universe, fit only on the last 3 year(s)",34945,15040,window
W_last_3y/over35,15040,0.29527925531914895,0.704720744680851,0.7079122340425532,0.31914893617022155,0.5697948141624081,0.3714684339030345,0.47962170682278765,0.41867321867321866,0.49000000000000016,0.5903606678582629,0.2013265105414533,0.6045423810869217,0.39317363639827496,0.011806910248480115,0.6068112039330129,0.2080894166973177,1.0.0,0.01645053607475,0.00676290615586439,0.29999999999999993,0.7081117021276596,2130,3604,2311,6995,W_last_3y,over35,fit,"canonical universe, fit only on the last 3 year(s)",34945,15040,window
W_last_4y/btts,15040,0.5496010638297872,0.5496010638297872,0.5668218085106383,1.7220744680851108,0.5518973465030573,0.5933046821985976,0.6346479554802806,0.6132803366845919,0.4500000000000001,0.6708212424456306,0.23966871227221334,0.5824032674711402,0.6429864292849492,0.019190791031300156,0.6882185470142603,0.24753973446695343,1.0.0,0.017397304568629757,0.00787102219474009,0.5200000000000005,0.5652260638297872,5246,3596,3020,3178,W_last_4y,btts,fit,"canonical universe, fit only on the last 4 year(s)",45537,15040,window
W_last_4y/over15,15040,0.760904255319149,0.760904255319149,0.7627659574468085,0.18617021276595702,0.5530727275130742,0.7853950586052787,0.8138762670394967,0.7993820538128137,0.5400000000000001,0.5358923309099292,0.1768921845162804,0.6060684490009677,0.8282589345956312,0.01010967508983331,0.5500353681375699,0.18192896955636037,1.0.0,0.014143037227640765,0.005036785040079983,0.7000000000000005,0.7621010638297873,9314,2545,2130,1051,W_last_4y,over15,fit,"canonical universe, fit only on the last 4 year(s)",45537,15040,window
W_last_4y/over25,15040,0.5242021276595744,0.5242021276595744,0.5639627659574468,3.9760638297872353,0.5627802124658867,0.5878853434288804,0.5514967021816337,0.569109947643979,0.51,0.6762366042529084,0.24182681825915717,0.5931102474136579,0.6137764308342316,0.013784522569421878,0.6919752367043898,0.24941425701674966,1.0.0,0.015738632451481327,0.007587438757592491,0.5200000000000005,0.5658244680851063,4348,3048,3536,4108,W_last_4y,over25,fit,"canonical universe, fit only on the last 4 year(s)",45537,15040,window
W_last_4y/over35,15040,0.29527925531914895,0.704720744680851,0.7080452127659574,0.3324468085106447,0.5675428247438042,0.37888075934348425,0.43143436163026344,0.40345335860181086,0.5300000000000002,0.5900548877245516,0.20120259583571024,0.6033325912495855,0.39440020894137867,0.010869308777336198,0.6068112039330129,0.2080894166973177,1.0.0,0.016756316208461297,0.006886820861607468,0.31,0.7085106382978723,1916,3141,2525,7458,W_last_4y,over35,fit,"canonical universe, fit only on the last 4 year(s)",45537,15040,window
W_last_5y/btts,15040,0.5496010638297872,0.5496010638297872,0.5716090425531914,2.200797872340421,0.5521395872449213,0.588999391110209,0.7021533994676991,0.6406181015452539,0.45999999999999996,0.6698951763798379,0.23914058454922704,0.5871615192830703,0.6459921722502379,0.018223718568954543,0.6882185470142603,0.24753973446695343,1.0.0,0.018323370634422464,0.00839914991772639,0.51,0.5678856382978723,5804,4050,2462,2724,W_last_5y,btts,fit,"canonical universe, fit only on the last 5 year(s)",54757,15040,window
W_last_5y/over15,15040,0.760904255319149,0.760904255319149,0.7625664893617021,0.1662234042553168,0.5601078560628358,0.7885877798350446,0.8187696609577071,0.8033953528251736,0.49000000000000016,0.5346036879798998,0.17630052364887866,0.6136680130044685,0.8303758962457286,0.013418252709362132,0.5500353681375699,0.18192896955636037,1.0.0,0.015431680157670158,0.005628445907481711,0.7000000000000005,0.7628324468085106,9370,2512,2074,1084,W_last_5y,over15,fit,"canonical universe, fit only on the last 5 year(s)",54757,15040,window
W_last_5y/over25,15040,0.5242021276595744,0.5242021276595744,0.5704122340425531,4.621010638297873,0.5686710729274878,0.5877203797312291,0.6046423135464232,0.5960612691466083,0.51,0.674570689749777,0.24099613925032276,0.5995783182586861,0.6202834201556785,0.010862229344169753,0.6919752367043898,0.24941425701674966,1.0.0,0.0174045469546128,0.008418117766426897,0.51,0.5680186170212767,4767,3344,3117,3812,W_last_5y,over25,fit,"canonical universe, fit only on the last 5 year(s)",54757,15040,window
W_last_5y/over35,15040,0.29527925531914895,0.704720744680851,0.7091090425531915,0.43882978723405186,0.5690304126654852,0.3666391412056152,0.4998874127448773,0.42301829268292684,0.49000000000000016,0.5894571387754645,0.2009686319994841,0.6060692507964547,0.3959051064096715,0.010113339413248518,0.6068112039330129,0.2080894166973177,1.0.0,0.01735406515754845,0.007120784697833615,0.29999999999999993,0.7088430851063829,2220,3835,2221,6764,W_last_5y,over35,fit,"canonical universe, fit only on the last 5 year(s)",54757,15040,window
W_expanding/btts,15040,0.5496010638297872,0.5496010638297872,0.5725398936170213,2.293882978723405,0.5511585872485645,0.5864269141531323,0.7338495039922575,0.6519075765717357,0.5,0.6703263858670492,0.23918880374288523,0.5904244113517826,0.6472799980751089,0.015724370233511042,0.6882185470142603,0.24753973446695343,1.0.0,0.01789216114721115,0.0083509307240682,0.51,0.5725398936170213,6066,4278,2200,2496,W_expanding,btts,fit,"canonical universe, all of it",59899,15040,window
W_expanding/over15,15040,0.760904255319149,0.760904255319149,0.7625664893617021,0.1662234042553168,0.5588966088772371,0.7881606765327696,0.8144005592450192,0.8010657956938416,0.5600000000000004,0.5342816607562704,0.17621304626018192,0.6136710504778504,0.8311502670993683,0.013444107907852788,0.5500353681375699,0.18192896955636037,1.0.0,0.015753707381299553,0.0057159232961784545,0.7000000000000005,0.7627659574468085,9320,2505,2124,1091,W_expanding,over15,fit,"canonical universe, all of it",59899,15040,window
W_expanding/over25,15040,0.5242021276595744,0.5242021276595744,0.5701462765957447,4.594414893617027,0.5704110170416823,0.5947389504606757,0.5649416539827499,0.579457490405256,0.51,0.6742087536984467,0.24084290560298344,0.6018549182543187,0.6205740065660501,0.017411755598555227,0.6919752367043898,0.24941425701674966,1.0.0,0.01776648300594308,0.00857135141376622,0.51,0.5743351063829787,4454,3035,3430,4121,W_expanding,over25,fit,"canonical universe, all of it",59899,15040,window
W_expanding/over35,15040,0.29527925531914895,0.704720744680851,0.7085771276595745,0.38563829787234827,0.5701625949468324,0.36809815950920244,0.4998874127448773,0.4239877769289534,0.47,0.5895291097315715,0.20101096361671306,0.6062165840570031,0.3951549394348154,0.011194664825404434,0.6068112039330129,0.2080894166973177,1.0.0,0.017282094201441445,0.007078453080604646,0.29999999999999993,0.7081117021276596,2220,3811,2221,6788,W_expanding,over35,fit,"canonical universe, all of it",59899,15040,window
