variant,baseline,target,mean_diff,ci_lo,ci_hi,p_value,significant,direction
W_last_1y,W_expanding,btts,-0.01665492164981175,-0.01933059712338805,-0.013908341205900645,0.0,True,baseline better
W_last_1y,W_expanding,over15,-0.009282825610135645,-0.011284518476655039,-0.007372371001140001,0.0,True,baseline better
W_last_1y,W_expanding,over25,-0.012851784114597649,-0.01544637262913624,-0.010270747324755584,0.0,True,baseline better
W_last_1y,W_expanding,over35,-0.011615147722498002,-0.013834465511516915,-0.00951647909698703,0.0,True,baseline better
W_last_2y,W_expanding,btts,-0.002400817823970046,-0.0037415649958276362,-0.001114993640549657,0.002,True,baseline better
W_last_2y,W_expanding,over15,-0.0032652366751619653,-0.004865625198498849,-0.0015863266993075924,0.0005,True,baseline better
W_last_2y,W_expanding,over25,-0.003470686621716981,-0.005146191740975371,-0.0017790054820037162,0.0005,True,baseline better
W_last_2y,W_expanding,over35,-0.004283896729599354,-0.005714373815105365,-0.0029512567967270834,0.0,True,baseline better
W_last_3y,W_expanding,btts,0.0016015944306327914,0.0002613765375756009,0.0030095277458791715,0.0605,True,variant better
W_last_3y,W_expanding,over15,-0.002211979363017522,-0.0035937057632290863,-0.00090089236092705,0.007,True,baseline better
W_last_3y,W_expanding,over25,-0.00225835910277111,-0.0037625470557979186,-0.0006687132763066929,0.0145,True,baseline better
W_last_3y,W_expanding,over35,-0.0008315581266915181,-0.002042569374578844,0.0003191652112321272,0.2375,False,baseline better
W_last_4y,W_expanding,btts,-0.0004948565785813674,-0.0018194163856889494,0.0008049949912335328,0.5315,False,baseline better
W_last_4y,W_expanding,over15,-0.0016106701536587457,-0.002778257840721111,-0.0005512899783819645,0.0195,True,baseline better
W_last_4y,W_expanding,over25,-0.0020278505544618457,-0.0034172689280008257,-0.0004885591922820521,0.0205,True,baseline better
W_last_4y,W_expanding,over35,-0.0005257779929802274,-0.0017147800521002481,0.0005691231652211187,0.4425,False,baseline better
W_last_5y,W_expanding,btts,0.0004312094872112354,-0.0007290368384141742,0.0015116428915246134,0.514,False,variant better
W_last_5y,W_expanding,over15,-0.0003220272236294088,-0.0013440721342034034,0.0007063247388223794,0.6215,False,baseline better
W_last_5y,W_expanding,over25,-0.0003619360513302819,-0.0016971297075773486,0.0009763306755396096,0.65,False,baseline better
W_last_5y,W_expanding,over35,7.197095610703366e-05,-0.0009677552185001813,0.0010683513983371028,0.9075,False,variant better
