policy,target,month,adopted,val_champ,val_cand,next_month_live,next_month_challenger
always_promote,btts,2022-08,True,,,0.69306,0.69306
never_promote,btts,2022-08,True,,,0.69306,0.69306
v9_current_tol005,btts,2022-08,True,,,0.69306,0.69306
not_worse_tol000,btts,2022-08,True,,,0.69306,0.69306
must_improve_tol000,btts,2022-08,True,,,0.69306,0.69306
must_improve_tol002,btts,2022-08,True,,,0.69306,0.69306
v9_rule_6m_window,btts,2022-08,True,,,0.69306,0.69306
two_window_tol005,btts,2022-08,True,,,0.69306,0.69306
always_promote,btts,2022-09,True,0.65739,0.65189,0.69216,0.69216
never_promote,btts,2022-09,False,0.65739,0.65189,0.69008,0.69216
v9_current_tol005,btts,2022-09,True,0.65739,0.65189,0.69216,0.69216
not_worse_tol000,btts,2022-09,True,0.65739,0.65189,0.69216,0.69216
must_improve_tol000,btts,2022-09,True,0.65739,0.65189,0.69216,0.69216
must_improve_tol002,btts,2022-09,True,0.65739,0.65189,0.69216,0.69216
v9_rule_6m_window,btts,2022-09,False,0.64844,0.65695,0.69008,0.69216
two_window_tol005,btts,2022-09,False,0.65739,0.65189,0.69008,0.69216
always_promote,btts,2022-10,True,0.66503,0.65509,0.68566,0.68566
never_promote,btts,2022-10,False,0.67511,0.65509,0.68795,0.68566
v9_current_tol005,btts,2022-10,True,0.66503,0.65509,0.68566,0.68566
not_worse_tol000,btts,2022-10,True,0.66503,0.65509,0.68566,0.68566
must_improve_tol000,btts,2022-10,True,0.66503,0.65509,0.68566,0.68566
must_improve_tol002,btts,2022-10,True,0.66503,0.65509,0.68566,0.68566
v9_rule_6m_window,btts,2022-10,True,0.65538,0.65698,0.68566,0.68566
two_window_tol005,btts,2022-10,False,0.67511,0.65509,0.68795,0.68566
always_promote,btts,2022-11,True,0.66793,0.64648,0.68657,0.68657
never_promote,btts,2022-11,False,0.69025,0.64648,0.68831,0.68657
v9_current_tol005,btts,2022-11,True,0.66793,0.64648,0.68657,0.68657
not_worse_tol000,btts,2022-11,True,0.66793,0.64648,0.68657,0.68657
must_improve_tol000,btts,2022-11,True,0.66793,0.64648,0.68657,0.68657
must_improve_tol002,btts,2022-11,True,0.66793,0.64648,0.68657,0.68657
v9_rule_6m_window,btts,2022-11,True,0.66236,0.64499,0.68657,0.68657
two_window_tol005,btts,2022-11,False,0.69025,0.64648,0.68831,0.68657
always_promote,btts,2022-12,True,0.65411,0.66017,0.69364,0.69364
never_promote,btts,2022-12,False,0.68873,0.66017,0.69922,0.69364
v9_current_tol005,btts,2022-12,False,0.65411,0.66017,0.69655,0.69364
not_worse_tol000,btts,2022-12,False,0.65411,0.66017,0.69655,0.69364
must_improve_tol000,btts,2022-12,False,0.65411,0.66017,0.69655,0.69364
must_improve_tol002,btts,2022-12,False,0.65411,0.66017,0.69655,0.69364
v9_rule_6m_window,btts,2022-12,False,0.64891,0.6587,0.69655,0.69364
two_window_tol005,btts,2022-12,True,0.68873,0.66017,0.69364,0.69364
always_promote,btts,2023-01,True,0.66623,0.6578,0.68646,0.68646
never_promote,btts,2023-01,False,0.69014,0.6578,0.693,0.68646
v9_current_tol005,btts,2023-01,True,0.66574,0.6578,0.68646,0.68646
not_worse_tol000,btts,2023-01,True,0.66574,0.6578,0.68646,0.68646
must_improve_tol000,btts,2023-01,True,0.66574,0.6578,0.68646,0.68646
must_improve_tol002,btts,2023-01,True,0.66574,0.6578,0.68646,0.68646
v9_rule_6m_window,btts,2023-01,True,0.65373,0.65396,0.68646,0.68646
two_window_tol005,btts,2023-01,True,0.66623,0.6578,0.68646,0.68646
