policy,target,month,n_test,live_log_loss,live_brier,challenger_log_loss,adopted
always_promote,btts,2022-08,1462,0.69306,0.24989,0.69306,True
never_promote,btts,2022-08,1462,0.69306,0.24989,0.69306,True
v9_current_tol005,btts,2022-08,1462,0.69306,0.24989,0.69306,True
not_worse_tol000,btts,2022-08,1462,0.69306,0.24989,0.69306,True
must_improve_tol000,btts,2022-08,1462,0.69306,0.24989,0.69306,True
must_improve_tol002,btts,2022-08,1462,0.69306,0.24989,0.69306,True
v9_rule_6m_window,btts,2022-08,1462,0.69306,0.24989,0.69306,True
two_window_tol005,btts,2022-08,1462,0.69306,0.24989,0.69306,True
always_promote,btts,2022-09,1210,0.69216,0.24949,0.69216,True
never_promote,btts,2022-09,1210,0.69008,0.24851,0.69216,False
v9_current_tol005,btts,2022-09,1210,0.69216,0.24949,0.69216,True
not_worse_tol000,btts,2022-09,1210,0.69216,0.24949,0.69216,True
must_improve_tol000,btts,2022-09,1210,0.69216,0.24949,0.69216,True
must_improve_tol002,btts,2022-09,1210,0.69216,0.24949,0.69216,True
v9_rule_6m_window,btts,2022-09,1210,0.69008,0.24851,0.69216,False
two_window_tol005,btts,2022-09,1210,0.69008,0.24851,0.69216,False
always_promote,btts,2022-10,1707,0.68566,0.24631,0.68566,True
never_promote,btts,2022-10,1707,0.68795,0.24742,0.68566,False
v9_current_tol005,btts,2022-10,1707,0.68566,0.24631,0.68566,True
not_worse_tol000,btts,2022-10,1707,0.68566,0.24631,0.68566,True
must_improve_tol000,btts,2022-10,1707,0.68566,0.24631,0.68566,True
must_improve_tol002,btts,2022-10,1707,0.68566,0.24631,0.68566,True
v9_rule_6m_window,btts,2022-10,1707,0.68566,0.24631,0.68566,True
two_window_tol005,btts,2022-10,1707,0.68795,0.24742,0.68566,False
always_promote,btts,2022-11,726,0.68657,0.24668,0.68657,True
never_promote,btts,2022-11,726,0.68831,0.2474,0.68657,False
v9_current_tol005,btts,2022-11,726,0.68657,0.24668,0.68657,True
not_worse_tol000,btts,2022-11,726,0.68657,0.24668,0.68657,True
must_improve_tol000,btts,2022-11,726,0.68657,0.24668,0.68657,True
must_improve_tol002,btts,2022-11,726,0.68657,0.24668,0.68657,True
v9_rule_6m_window,btts,2022-11,726,0.68657,0.24668,0.68657,True
two_window_tol005,btts,2022-11,726,0.68831,0.2474,0.68657,False
always_promote,btts,2022-12,558,0.69364,0.25024,0.69364,True
never_promote,btts,2022-12,558,0.69922,0.25295,0.69364,False
v9_current_tol005,btts,2022-12,558,0.69655,0.25165,0.69364,False
not_worse_tol000,btts,2022-12,558,0.69655,0.25165,0.69364,False
must_improve_tol000,btts,2022-12,558,0.69655,0.25165,0.69364,False
must_improve_tol002,btts,2022-12,558,0.69655,0.25165,0.69364,False
v9_rule_6m_window,btts,2022-12,558,0.69655,0.25165,0.69364,False
two_window_tol005,btts,2022-12,558,0.69364,0.25024,0.69364,True
always_promote,btts,2023-01,717,0.68646,0.24669,0.68646,True
never_promote,btts,2023-01,717,0.693,0.24991,0.68646,False
v9_current_tol005,btts,2023-01,717,0.68646,0.24669,0.68646,True
not_worse_tol000,btts,2023-01,717,0.68646,0.24669,0.68646,True
must_improve_tol000,btts,2023-01,717,0.68646,0.24669,0.68646,True
must_improve_tol002,btts,2023-01,717,0.68646,0.24669,0.68646,True
