fixture_key,date,league,season,month,age_days,home_team,away_team,sources,quality_tier,tier,has_shots,has_sot,has_corners,has_fouls,has_ht,has_market,n_families,btts,over15,over25,over35,reason_not_in_v9_current
2019-02-15|Ireland Premier Division|Bohemians|Finn Harps,2019-02-15,Ireland Premier Division,2018/19,2019-02,2777,Bohemians,Finn Harps,"af_history,fd_history",RESULT_ONLY,CORE,False,False,False,False,False,False,0,0,0,0,0,dropped_no_rolling_form_history
2019-02-15|Ireland Premier Division|Derry City|UCD,2019-02-15,Ireland Premier Division,2018/19,2019-02,2777,Derry City,UCD,"af_history,fd_history",RESULT_ONLY,CORE,False,False,False,False,False,False,0,0,1,1,0,dropped_no_rolling_form_history
2019-02-15|Ireland Premier Division|Dundalk|Sligo Rovers,2019-02-15,Ireland Premier Division,2018/19,2019-02,2777,Dundalk,Sligo Rovers,"af_history,fd_history",RESULT_ONLY,CORE,False,False,False,False,False,False,0,1,1,0,0,dropped_no_rolling_form_history
2019-02-15|Ireland Premier Division|St Patrick's Athl.|Cork City,2019-02-15,Ireland Premier Division,2018/19,2019-02,2777,St Patrick's Athl.,Cork City,"af_history,fd_history",RESULT_ONLY,CORE,False,False,False,False,False,False,0,0,0,0,0,dropped_no_rolling_form_history
2019-02-15|Ireland Premier Division|Waterford|Shamrock Rovers,2019-02-15,Ireland Premier Division,2018/19,2019-02,2777,Waterford,Shamrock Rovers,"af_history,fd_history",RESULT_ONLY,CORE,False,False,False,False,False,False,0,1,1,1,0,dropped_no_rolling_form_history
2019-02-22|Japan J-League|Cerezo Osaka|Vissel Kobe,2019-02-22,Japan J-League,2018/19,2019-02,2770,Cerezo Osaka,Vissel Kobe,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,0,0,0,0,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Gamba Osaka|Yokohama F. Marinos,2019-02-23,Japan J-League,2018/19,2019-02,2769,Gamba Osaka,Yokohama F. Marinos,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,1,1,1,1,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Jubilo Iwata|Matsumoto Yamaga,2019-02-23,Japan J-League,2018/19,2019-02,2769,Jubilo Iwata,Matsumoto Yamaga,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,1,1,0,0,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Kashima|Oita Trinita,2019-02-23,Japan J-League,2018/19,2019-02,2769,Kashima,Oita Trinita,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,1,1,1,0,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Kawasaki Frontale|FC Tokyo,2019-02-23,Japan J-League,2018/19,2019-02,2769,Kawasaki Frontale,FC Tokyo,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,0,0,0,0,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Sagan Tosu|Nagoya Grampus,2019-02-23,Japan J-League,2018/19,2019-02,2769,Sagan Tosu,Nagoya Grampus,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,0,1,1,1,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Sanfrecce Hiroshima|Shimizu S-pulse,2019-02-23,Japan J-League,2018/19,2019-02,2769,Sanfrecce Hiroshima,Shimizu S-pulse,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,1,1,0,0,dropped_no_rolling_form_history
2019-02-23|Japan J-League|Shonan Bellmare|Consadole Sapporo,2019-02-23,Japan J-League,2018/19,2019-02,2769,Shonan Bellmare,Consadole Sapporo,fd_history,FULL_FEATURE,STANDARD_PLUS,True,True,True,True,False,False,4,0,1,0,0,dropped_no_rolling_form_history
