league,target,n_test,base_rate,challenger_logloss,control_logloss,delta,ci_lo,ci_hi,challenger_brier,control_brier,challenger_auc,significant,verdict
Argentina Primera Division,btts,3063,0.4156,0.66891,0.70229,0.03338,0.02719,0.03941,0.23838,0.25449,0.5763,True,IMPROVED
Finland Veikkausliiga,btts,1013,0.5518,0.67252,0.69631,0.02379,0.01563,0.03204,0.24039,0.2514,0.5762,True,IMPROVED
La Liga 2,btts,2729,0.4991,0.66732,0.6903,0.02298,0.01718,0.02859,0.23792,0.24855,0.6047,True,IMPROVED
Brazil Serie A,btts,2353,0.5193,0.67253,0.69481,0.02228,0.01693,0.02738,0.24024,0.25077,0.5954,True,IMPROVED
Mexico Liga MX,btts,2047,0.5745,0.66595,0.68698,0.02102,0.01551,0.02697,0.23714,0.24681,0.5825,True,IMPROVED
Ireland Premier Division,btts,1168,0.506,0.67989,0.69998,0.02009,0.01119,0.02903,0.24388,0.25322,0.5586,True,IMPROVED
Scottish Premiership,btts,948,0.5137,0.69209,0.71214,0.02005,0.01208,0.02802,0.24948,0.25899,0.5247,True,IMPROVED
League One,btts,3055,0.5169,0.67308,0.69149,0.01841,0.01414,0.02272,0.2405,0.24917,0.5953,True,IMPROVED
USA MLS,btts,3031,0.6064,0.64914,0.66749,0.01834,0.01379,0.02281,0.22933,0.2373,0.596,True,IMPROVED
Greek Super League,btts,1435,0.4843,0.6763,0.6924,0.0161,0.00865,0.02379,0.24206,0.24951,0.5862,True,IMPROVED
Austrian Bundesliga,btts,1369,0.5405,0.68217,0.69793,0.01576,0.00893,0.02278,0.24474,0.25216,0.5559,True,IMPROVED
Norway Eliteserien,btts,1520,0.5757,0.66853,0.68378,0.01525,0.00892,0.02153,0.23822,0.24531,0.5797,True,IMPROVED
League Two,btts,3010,0.5252,0.67376,0.68841,0.01465,0.01038,0.01887,0.24083,0.2476,0.5853,True,IMPROVED
Sweden Allsvenskan,btts,1996,0.5306,0.68233,0.69651,0.01418,0.00939,0.0193,0.24504,0.25155,0.5471,True,IMPROVED
China Super League,btts,1987,0.5657,0.6709,0.68452,0.01362,0.00916,0.01837,0.23949,0.24566,0.5774,True,IMPROVED
Championship,btts,2865,0.5215,0.67876,0.69085,0.01209,0.00732,0.01689,0.24326,0.24882,0.5693,True,IMPROVED
Japan J-League,btts,1802,0.5128,0.68454,0.69655,0.01201,0.00644,0.01737,0.24599,0.25159,0.5542,True,IMPROVED
Bundesliga 2,btts,2107,0.5942,0.66836,0.67859,0.01023,0.00586,0.01439,0.23793,0.24269,0.5434,True,IMPROVED
Scottish Championship,btts,750,0.4907,0.68956,0.69969,0.01013,0.00179,0.01813,0.2482,0.25317,0.5547,True,IMPROVED
Scottish League One,btts,703,0.542,0.68832,0.6984,0.01008,0.0026,0.01672,0.24761,0.25255,0.5465,True,IMPROVED
