variant,target,months,matches_predicted,first6_logloss,last6_logloss,delta_logloss,first6_brier,last6_brier,first6_auc,last6_auc,first6_margin,last6_margin,delta_margin
canonical,btts,50,54845,0.69008,0.66425,-0.02583,0.24845,0.23655,0.5444,0.5922,-0.00097,0.02133,0.0223
canonical,over15,50,54845,0.55825,0.50992,-0.04834,0.18653,0.16544,0.6017,0.6232,0.00305,0.01615,0.0131
canonical,over25,50,54845,0.68063,0.67062,-0.01001,0.24381,0.23914,0.5918,0.6002,0.00299,0.01428,0.01128
canonical,over35,50,54845,0.57443,0.60915,0.03471,0.19391,0.21018,0.6053,0.6162,0.00418,0.01704,0.01286
frozen,btts,50,54845,0.69194,0.68475,-0.00718,0.24935,0.24573,0.539,0.5378,-0.00283,0.00083,0.00366
frozen,over15,50,54845,0.56069,0.52151,-0.03918,0.18746,0.16982,0.5887,0.5912,0.00061,0.00455,0.00394
frozen,over25,50,54845,0.6829,0.68537,0.00247,0.24491,0.24608,0.5847,0.5635,0.00073,-0.00047,-0.0012
frozen,over35,50,54845,0.57567,0.62122,0.04555,0.19443,0.21522,0.5989,0.5883,0.00295,0.00497,0.00202
rolling_3y,btts,50,54845,0.69166,0.66114,-0.03052,0.24926,0.23543,0.5349,0.5947,-0.00311,0.02192,0.02502
rolling_3y,over15,50,54845,0.55842,0.5116,-0.04682,0.18659,0.16651,0.5987,0.6103,0.00355,0.01455,0.01099
rolling_3y,over25,50,54845,0.67949,0.67777,-0.00172,0.24328,0.24243,0.5945,0.5846,0.00451,0.00684,0.00233
rolling_3y,over35,50,54845,0.57472,0.61228,0.03756,0.19409,0.21149,0.6088,0.6097,0.00407,0.01007,0.006
v9_path,btts,50,47394,0.68839,0.66064,-0.02775,0.24763,0.2351,0.5547,0.595,5e-05,0.02339,0.02334
v9_path,over15,50,47394,0.53029,0.51282,-0.01748,0.17418,0.16656,0.5998,0.6062,0.00226,0.01179,0.00954
v9_path,over25,50,47394,0.67266,0.67301,0.00035,0.24,0.2403,0.6098,0.5927,0.01087,0.01063,-0.00024
v9_path,over35,50,47394,0.59157,0.61192,0.02035,0.20183,0.21141,0.6111,0.6139,0.00975,0.01359,0.00384
