variant,month,target,dataset_id,retrain_id,train_start,train_end,n_train,n_test,target_prevalence,majority_accuracy,accuracy,accuracy_lift,auc,pr_auc,brier,log_loss,ece,baseline_log_loss,baseline_brier,margin_vs_baseline_ll,mean_predicted,mean_actual,model_age_months,gate_decision,interpretable
v9_path,2022-08,btts,82cecfc0b135,v9_path:2022-08,2019-02-22,2022-07-31,14460,820,0.5488,0.5488,0.5598,1.098,0.5524,0.5818,0.24585,0.68481,0.0286,0.68187,0.24439,-0.00294,0.5272,0.5488,0,PROMOTE,True
v9_path,2022-08,over15,82cecfc0b135,v9_path:2022-08,2019-02-22,2022-07-31,14460,820,0.7683,0.7683,0.7659,-0.244,0.6046,0.8332,0.17565,0.53391,0.03161,0.52918,0.17338,-0.00472,0.7367,0.7683,0,PROMOTE,True
v9_path,2022-08,over25,82cecfc0b135,v9_path:2022-08,2019-02-22,2022-07-31,14460,820,0.5341,0.5341,0.5878,5.366,0.6195,0.6374,0.23928,0.67114,0.05256,0.6753,0.24113,0.00416,0.5024,0.5341,0,PROMOTE,True
v9_path,2022-08,over35,82cecfc0b135,v9_path:2022-08,2019-02-22,2022-07-31,14460,820,0.3012,0.6988,0.7,0.122,0.6204,0.4276,0.20433,0.59729,0.02926,0.59999,0.20566,0.00271,0.272,0.3012,0,PROMOTE,True
v9_path,2022-09,btts,84fcfeed9f95,v9_path:2022-09,2019-02-22,2022-08-31,15280,717,0.5174,0.5174,0.5453,2.789,0.5428,0.542,0.2504,0.69427,0.03147,0.69034,0.2486,-0.00393,0.5356,0.5174,0,PROMOTE,True
v9_path,2022-09,over15,84fcfeed9f95,v9_path:2022-09,2019-02-22,2022-08-31,15280,717,0.7364,0.7364,0.7308,-0.558,0.617,0.8276,0.18881,0.56137,0.04434,0.56769,0.19072,0.00632,0.7428,0.7364,0,PROMOTE,True
v9_path,2022-09,over25,84fcfeed9f95,v9_path:2022-09,2019-02-22,2022-08-31,15280,717,0.5063,0.5063,0.5732,6.695,0.6122,0.6148,0.24053,0.67396,0.01581,0.68069,0.24383,0.00674,0.5088,0.5063,0,PROMOTE,True
v9_path,2022-09,over35,84fcfeed9f95,v9_path:2022-09,2019-02-22,2022-08-31,15280,717,0.272,0.728,0.7252,-0.279,0.6322,0.3681,0.19086,0.56597,0.02914,0.57017,0.19206,0.0042,0.2834,0.272,0,PROMOTE,True
v9_path,2022-10,btts,b0d6230959fa,v9_path:2022-10,2019-02-22,2022-09-30,15997,867,0.5686,0.5686,0.5559,-1.269,0.5565,0.6146,0.24494,0.68291,0.04929,0.68874,0.24781,0.00583,0.5243,0.5686,0,PROMOTE,True
v9_path,2022-10,over15,b0d6230959fa,v9_path:2022-10,2019-02-22,2022-09-30,15997,867,0.7659,0.7659,0.7659,0.0,0.5618,0.7991,0.17909,0.54362,0.03239,0.54295,0.17894,-0.00067,0.7367,0.7659,0,PROMOTE,True
