variant,month,target,n_train,n_test,prevalence,log_loss,brier,auc,pr_auc,ece,baseline_log_loss,baseline_pr_auc,margin_vs_baseline_ll,interpretable
current,2023-02,scored,25326,5983,0.0784,0.24195,0.06704,0.7613,0.2192,0.00792,0.2508,0.1609,0.00885,True
current,2023-03,scored,31309,4375,0.077,0.23793,0.06532,0.7601,0.2284,0.00784,0.24777,0.1464,0.00984,True
current,2023-04,scored,35684,7566,0.0845,0.25872,0.07217,0.7456,0.2173,0.00609,0.26552,0.1599,0.0068,True
current,2023-05,scored,43250,6580,0.086,0.25755,0.07229,0.7574,0.2462,0.00315,0.27009,0.1614,0.01254,True
current,2023-06,scored,49830,943,0.088,0.25433,0.0712,0.7764,0.3018,0.01368,0.26812,0.1839,0.01379,True
current,2023-08,scored,50773,3296,0.0928,0.27592,0.07768,0.7395,0.2524,0.00832,0.28448,0.169,0.00856,True
current,2023-09,scored,54069,5532,0.0866,0.25445,0.07197,0.7752,0.2554,0.00882,0.26981,0.1596,0.01536,True
current,2023-10,scored,59601,4866,0.083,0.2531,0.0702,0.75,0.2438,0.00562,0.26198,0.1512,0.00887,True
current,2023-11,scored,64467,4135,0.0849,0.25918,0.07198,0.7418,0.2344,0.00779,0.26707,0.1668,0.00789,True
current,2023-12,scored,68602,6636,0.0803,0.25134,0.06936,0.739,0.2092,0.00763,0.25834,0.1385,0.007,True
current,2024-01,scored,75238,3967,0.0834,0.25301,0.07043,0.7534,0.236,0.00696,0.26079,0.1529,0.00778,True
current,2024-02,scored,79205,5773,0.0896,0.26793,0.07481,0.7377,0.2545,0.00467,0.27946,0.1645,0.01152,True
current,2024-03,scored,84978,5272,0.0816,0.25152,0.06981,0.748,0.2152,0.00953,0.25905,0.1526,0.00753,True
current,2024-04,scored,90250,5892,0.0881,0.26357,0.07416,0.7509,0.2412,0.00412,0.27495,0.1615,0.01139,True
current,2024-05,scored,96142,5273,0.0905,0.26787,0.07557,0.7503,0.2442,0.00485,0.27865,0.169,0.01078,True
current,2024-08,scored,101474,6304,0.0823,0.25819,0.07144,0.7307,0.1899,0.00841,0.26257,0.1486,0.00438,True
current,2024-09,scored,107563,8228,0.0859,0.2632,0.07322,0.7345,0.2217,0.00332,0.27103,0.1584,0.00783,True
current,2024-10,scored,115791,8847,0.0853,0.26092,0.07249,0.7362,0.2299,0.00626,0.26994,0.1526,0.00902,True
current,2024-11,scored,124638,8872,0.0791,0.24685,0.06788,0.7421,0.2142,0.0059,0.25743,0.1355,0.01058,True
current,2024-12,scored,133510,10632,0.0869,0.26183,0.0736,0.7505,0.2221,0.00513,0.27445,0.1558,0.01261,True
current,2025-01,scored,144142,9487,0.0849,0.25655,0.07157,0.7497,0.236,0.00162,0.26853,0.1506,0.01198,True
current,2025-02,scored,153629,10505,0.078,0.24518,0.06734,0.7422,0.2064,0.00606,0.25562,0.1338,0.01044,True
current,2025-03,scored,163974,10002,0.0757,0.24029,0.06566,0.742,0.1997,0.00813,0.24939,0.1382,0.0091,True
current,2025-04,scored,173976,11989,0.0801,0.25196,0.0693,0.7314,0.1952,0.00387,0.2624,0.1325,0.01044,True
current,2025-05,scored,185965,8234,0.0876,0.26351,0.07394,0.7476,0.2314,0.0059,0.27571,0.1496,0.0122,True
current,2025-06,scored,194199,808,0.073,0.24103,0.06518,0.7179,0.1554,0.01673,0.24431,0.1394,0.00328,True
current,2025-07,scored,194850,1725,0.0765,0.2406,0.0664,0.7475,0.191,0.01655,0.24014,0.1792,-0.00047,True
current,2025-08,scored,195556,12402,0.076,0.24245,0.06604,0.7311,0.1935,0.00176,0.24979,0.1353,0.00733,True
current,2025-09,scored,204342,10537,0.0766,0.23935,0.06558,0.7507,0.2203,0.00557,0.24932,0.1383,0.00997,True
current,2025-10,scored,212901,13933,0.0721,0.23005,0.06242,0.7508,0.205,0.00868,0.24055,0.1296,0.0105,True
current,2025-11,scored,222470,15369,0.0753,0.23788,0.06487,0.7474,0.2103,0.01085,0.2499,0.1301,0.01202,True
current,2025-12,scored,233100,12752,0.074,0.23362,0.06368,0.7551,0.2112,0.01111,0.24462,0.1284,0.011,True
current,2026-01,scored,242702,14504,0.0781,0.24222,0.06652,0.7513,0.2253,0.00908,0.25687,0.1337,0.01465,True
current,2026-02,scored,254094,12798,0.0804,0.24804,0.06842,0.746,0.2309,0.00521,0.26045,0.1354,0.01241,True
current,2026-03,scored,264445,12945,0.0762,0.24311,0.06622,0.7349,0.2006,0.01104,0.25193,0.1328,0.00882,True
current,2026-04,scored,275223,13110,0.0799,0.24547,0.06776,0.7543,0.2324,0.00549,0.26156,0.1435,0.01609,True
current,2026-05,scored,286993,9498,0.0823,0.24853,0.06929,0.7633,0.237,0.00644,0.25997,0.1477,0.01144,True
current,2026-06,scored,296086,3708,0.0804,0.2514,0.06967,0.743,0.1979,0.01059,0.25703,0.1471,0.00563,True
current,2026-07,scored,299794,1260,0.0746,0.22954,0.06319,0.7809,0.2428,0.01756,0.24561,0.1429,0.01607,True
current,2026-08,scored,301026,5914,0.0884,0.26798,0.07513,0.737,0.2275,0.00682,0.27765,0.1619,0.00967,True
current,2026-09,scored,306940,9217,0.0872,0.26546,0.0746,0.7408,0.2078,0.00526,0.27306,0.165,0.00761,True
canonical,2023-02,scored,27348,5983,0.0784,0.24552,0.06782,0.7502,0.2076,0.00983,0.2507,0.1609,0.00518,True
canonical,2023-03,scored,33331,4375,0.077,0.23836,0.06551,0.7598,0.2241,0.00442,0.24767,0.1464,0.00931,True
canonical,2023-04,scored,37706,7566,0.0845,0.25895,0.07223,0.7456,0.2145,0.00706,0.26552,0.1599,0.00657,True
canonical,2023-05,scored,45272,6580,0.086,0.25991,0.07294,0.7505,0.2345,0.00682,0.27012,0.1614,0.01021,True
canonical,2023-06,scored,51852,943,0.088,0.2551,0.07134,0.7778,0.3039,0.01554,0.26815,0.1839,0.01305,True
canonical,2023-08,scored,52795,3296,0.0928,0.28047,0.07887,0.7249,0.2391,0.01326,0.28454,0.169,0.00407,True
canonical,2023-09,scored,56091,5532,0.0866,0.25712,0.07277,0.7695,0.2481,0.01032,0.26982,0.1596,0.01269,True
canonical,2023-10,scored,61623,4866,0.083,0.25532,0.07093,0.7454,0.2215,0.00656,0.26196,0.1512,0.00665,True
canonical,2023-11,scored,66489,4135,0.0849,0.25987,0.07229,0.7395,0.2253,0.00282,0.26707,0.1668,0.0072,True
canonical,2023-12,scored,70624,6636,0.0803,0.25063,0.06909,0.7394,0.213,0.00649,0.25831,0.1385,0.00768,True
canonical,2024-01,scored,77260,3967,0.0834,0.25294,0.07045,0.7548,0.2347,0.00464,0.2608,0.1529,0.00786,True
canonical,2024-02,scored,81227,5773,0.0896,0.26842,0.07486,0.7361,0.2563,0.00436,0.27948,0.1645,0.01106,True
canonical,2024-03,scored,87000,5272,0.0816,0.25156,0.06989,0.7485,0.2141,0.00878,0.25903,0.1526,0.00747,True
canonical,2024-04,scored,92272,5892,0.0881,0.26283,0.07386,0.7511,0.2462,0.00533,0.27497,0.1615,0.01215,True
canonical,2024-05,scored,98164,5273,0.0905,0.26911,0.07581,0.7457,0.2399,0.0046,0.27867,0.169,0.00957,True
canonical,2024-08,scored,103496,6304,0.0823,0.25561,0.07127,0.7394,0.1897,0.00435,0.26256,0.1486,0.00695,True
canonical,2024-09,scored,109800,8228,0.0859,0.26402,0.07354,0.732,0.2113,0.0057,0.27103,0.1584,0.00702,True
canonical,2024-10,scored,118028,8847,0.0853,0.26139,0.07258,0.7349,0.2266,0.00525,0.26994,0.1526,0.00855,True
canonical,2024-11,scored,126875,8872,0.0791,0.24821,0.06827,0.7392,0.204,0.00617,0.25741,0.1355,0.0092,True
canonical,2024-12,scored,135747,10632,0.0869,0.26207,0.07367,0.7495,0.2229,0.00428,0.27446,0.1558,0.01239,True
canonical,2025-01,scored,146379,9487,0.0849,0.25692,0.07171,0.7493,0.2298,0.0015,0.26854,0.1506,0.01162,True
canonical,2025-02,scored,155866,10505,0.078,0.24425,0.06728,0.746,0.2062,0.00648,0.2556,0.1338,0.01134,True
canonical,2025-03,scored,166371,10002,0.0757,0.24039,0.06568,0.7415,0.1977,0.00829,0.24936,0.1382,0.00897,True
