variant,metric,months,slope_per_month,ci_lo,ci_hi,p_value,verdict
canonical,log_loss,41,-0.0007325,-0.0011475,-1.35e-05,0.03876,IMPROVING
canonical,brier,41,-0.0001991,-0.0003289,-1.73e-05,0.03472,IMPROVING
canonical,ece,41,2.18e-05,-5.38e-05,0.0001397,0.56674,FLAT
canonical,auc,41,0.0003604,-0.0002939,0.00145,0.39954,FLAT
canonical,pr_auc,41,0.000157,-0.000788,0.0009632,0.71088,FLAT
canonical,margin_vs_baseline_ll,41,0.0002696,9.85e-05,0.0005188,0.00404,IMPROVING
current,log_loss,41,-0.0004114,-0.0007285,-3e-05,0.03876,IMPROVING
current,brier,41,-0.0001473,-0.0002542,-1.76e-05,0.0277,IMPROVING
current,ece,41,2.91e-05,-6.06e-05,0.0001073,0.522,FLAT
current,auc,41,-0.0001653,-0.0004529,0.0001647,0.39331,FLAT
current,pr_auc,41,-0.0006865,-0.0013,-0.0001667,0.02259,DEGRADING
current,margin_vs_baseline_ll,41,3.33e-05,-5.5e-05,0.0001343,0.38709,FLAT
frozen,log_loss,41,-0.0004262,-0.0007925,0.0001641,0.14425,FLAT
frozen,brier,41,-0.0001483,-0.0002643,1.16e-05,0.07232,FLAT
frozen,ece,41,0.00019,7.97e-05,0.0002958,0.00137,DEGRADING
frozen,auc,41,-0.0004207,-0.0010895,0.0004636,0.27095,FLAT
frozen,pr_auc,41,-0.0004761,-0.0012208,7.83e-05,0.10569,FLAT
frozen,margin_vs_baseline_ll,41,-8e-06,-0.0002133,0.00023,0.95521,FLAT
