target,phase,n,base_rate,challenger_logloss,control_logloss,retraining_gain
btts,opening 20%,11033,0.5261,0.68161,0.69169,0.01008
btts,early-mid,10962,0.5276,0.67685,0.69175,0.01491
btts,mid,10947,0.5301,0.67594,0.69129,0.01535
btts,late-mid,10971,0.5279,0.67718,0.69135,0.01417
btts,closing 20%,10932,0.5493,0.67404,0.68976,0.01572
over15,opening 20%,11033,0.748,0.55208,0.55735,0.00527
over15,early-mid,10962,0.7448,0.55357,0.56018,0.00661
over15,mid,10947,0.7454,0.55203,0.55878,0.00675
over15,late-mid,10971,0.7456,0.55313,0.5637,0.01057
over15,closing 20%,10932,0.7604,0.53619,0.54286,0.00667
over25,opening 20%,11033,0.5121,0.67908,0.68516,0.00608
over25,early-mid,10962,0.5041,0.67431,0.68092,0.00661
over25,mid,10947,0.5097,0.67595,0.68379,0.00783
over25,late-mid,10971,0.5025,0.67516,0.68595,0.01079
over25,closing 20%,10932,0.5276,0.67117,0.68047,0.0093
over35,opening 20%,11033,0.2862,0.58722,0.58964,0.00242
over35,early-mid,10962,0.2851,0.57802,0.58579,0.00777
over35,mid,10947,0.2772,0.57438,0.57942,0.00504
over35,late-mid,10971,0.2782,0.57588,0.58175,0.00587
over35,closing 20%,10932,0.3044,0.59558,0.6057,0.01012
