variant,target,metric,months,slope_per_month,ci_lo,ci_hi,kendall_tau,p_value,direction,statistically_clear,verdict
canonical,btts,log_loss,50,-0.000463,-0.000637,-0.000296,-0.441,1e-05,IMPROVING,True,IMPROVING
canonical,btts,brier,50,-0.000214,-0.000298,-0.000135,-0.4335,1e-05,IMPROVING,True,IMPROVING
canonical,btts,ece,50,3.7e-05,-0.000203,0.000265,0.0286,0.7697,DEGRADING,False,FLAT
canonical,btts,auc,50,0.001025,0.000471,0.001523,0.3273,0.0008,IMPROVING,True,IMPROVING
canonical,btts,accuracy_lift,50,0.029714,-0.018158,0.0746,0.1118,0.2518,IMPROVING,False,FLAT
canonical,btts,margin_vs_baseline_ll,50,0.000373,0.000239,0.000527,0.4541,0.0,IMPROVING,True,IMPROVING
canonical,over15,log_loss,50,-0.000674,-0.001147,-0.000287,-0.2931,0.00267,IMPROVING,True,IMPROVING
canonical,over15,brier,50,-0.000298,-0.000498,-0.000117,-0.2914,0.00282,IMPROVING,True,IMPROVING
canonical,over15,ece,50,5.4e-05,-0.000149,0.000264,0.049,0.61573,DEGRADING,False,FLAT
canonical,over15,auc,50,0.0004,2.7e-05,0.000894,0.2,0.04042,IMPROVING,True,IMPROVING
canonical,over15,accuracy_lift,50,0.004442,0.0,0.008278,0.2544,0.01143,IMPROVING,False,FLAT
canonical,over15,margin_vs_baseline_ll,50,0.000189,9.4e-05,0.000285,0.3698,0.00015,IMPROVING,True,IMPROVING
canonical,over25,log_loss,50,-0.000101,-0.000242,1.8e-05,-0.1576,0.10644,IMPROVING,False,FLAT
canonical,over25,brier,50,-4.4e-05,-0.000113,1.6e-05,-0.1454,0.13649,IMPROVING,False,FLAT
canonical,over25,ece,50,0.000113,-0.000111,0.000361,0.0759,0.43661,DEGRADING,False,FLAT
canonical,over25,auc,50,4e-05,-0.000396,0.00044,0.0237,0.80832,IMPROVING,False,FLAT
canonical,over25,accuracy_lift,50,-0.030697,-0.077478,0.017838,-0.1258,0.19766,DEGRADING,False,FLAT
canonical,over25,margin_vs_baseline_ll,50,0.000156,4.3e-05,0.000285,0.2522,0.00975,IMPROVING,True,IMPROVING
canonical,over35,log_loss,50,0.000388,-8.4e-05,0.00094,0.1527,0.11776,DEGRADING,False,FLAT
canonical,over35,brier,50,0.000172,-2.9e-05,0.00044,0.1657,0.0895,DEGRADING,False,FLAT
canonical,over35,ece,50,0.000102,-0.00014,0.000355,0.0841,0.38892,DEGRADING,False,FLAT
canonical,over35,auc,50,0.000235,-0.00029,0.000679,0.0776,0.42681,IMPROVING,False,FLAT
canonical,over35,accuracy_lift,50,0.009118,0.001393,0.017036,0.2283,0.01957,IMPROVING,True,IMPROVING
