model_type,market,league,n_total,n_fit,n_test,roi_all,pnl_all,calc_version,verdict,chosen_threshold,roi_test_at_chosen,roi_test_at_zero,improvement_pp,ci_lo,ci_hi,holds_oos,n_test_at_chosen
new_format,OU25,Argentina Primera Division,76,45,31,-0.14828947368421055,-11.270000000000001,1.0.0,UNCHANGED,0.0,-0.15967741935483867,-0.15967741935483867,0.0,-0.6049112903225805,0.6022661290322582,False,31.0
new_format,OU25,Austrian Bundesliga,36,21,15,-0.14805555555555555,-5.33,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
new_format,OU25,Brazil Serie A,82,49,33,-0.0036585365853658517,-0.2999999999999998,1.0.0,INSUFFICIENT_DATA,12.5,,0.09939393939393942,,,,False,
new_format,OU25,China Super League,65,39,26,-0.15753846153846152,-10.239999999999998,1.0.0,UNCHANGED,6.0,-0.4284615384615385,-0.01961538461538466,-40.88461538461539,-1.1084615384615384,0.3238557692307692,False,13.0
new_format,OU25,Denmark Superliga,39,23,16,0.14974358974358973,5.84,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
new_format,OU25,Finland Veikkausliiga,48,28,20,0.20395833333333332,9.79,1.0.0,UNCHANGED,6.0,-0.25666666666666665,0.3595,-61.61666666666667,-1.53505,0.3717083333333334,False,6.0
new_format,OU25,Ireland Premier Division,35,21,14,-0.19142857142857142,-6.7,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
new_format,OU25,Japan J-League,67,40,27,-0.04970149253731341,-3.3299999999999983,1.0.0,UNCHANGED,0.0,-0.03666666666666665,-0.03666666666666665,0.0,-0.5901759259259258,0.5692685185185186,False,27.0
new_format,OU25,Mexico Liga MX,54,32,22,0.008888888888888889,0.48,1.0.0,UNCHANGED,0.0,0.2222727272727273,0.2222727272727273,0.0,-0.6350227272727272,0.6663863636363637,False,22.0
new_format,OU25,Norway Eliteserien,51,30,21,-0.24333333333333335,-12.41,1.0.0,UNCHANGED,8.0,-0.5863636363636364,-0.2895238095238095,-29.68398268398269,-0.9837251082251083,0.46632034632034636,False,11.0
new_format,OU25,Sweden Allsvenskan,72,43,29,-0.01486111111111114,-1.070000000000002,1.0.0,INSUFFICIENT_DATA,15.0,,0.21862068965517248,,,,False,
new_format,OU25,USA MLS,135,81,54,-0.1545925925925926,-20.87,1.0.0,INSUFFICIENT_DATA,15.0,,-0.32796296296296296,,,,False,
standard,OU25,Belgian First Division A,1,0,1,-1.0,-1.0,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
standard,OU25,Bundesliga 2,74,44,30,-0.06932432432432434,-5.130000000000001,1.0.0,UNCHANGED,0.0,-0.26833333333333337,-0.26833333333333337,0.0,-0.5793583333333333,0.5957000000000001,False,30.0
standard,OU25,Championship,36,21,15,-0.1486111111111111,-5.35,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
standard,OU25,Dutch Eredivisie,2,1,1,0.44999999999999996,0.8999999999999999,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
standard,OU25,Greek Super League,20,12,8,-0.3285,-6.57,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
standard,OU25,La Liga 2,131,78,53,-0.10458015267175572,-13.7,1.0.0,UNCHANGED,10.0,0.08499999999999996,-0.2041509433962264,28.915094339622637,-0.4839905660377358,1.1100094339622641,False,8.0
standard,OU25,League One,102,61,41,-0.12362745098039216,-12.61,1.0.0,UNCHANGED,0.0,-0.3439024390243902,-0.3439024390243902,0.0,-0.4078231707317073,0.4122073170731707,False,41.0
standard,OU25,League Two,58,34,24,-0.20741379310344832,-12.030000000000003,1.0.0,INSUFFICIENT_DATA,8.0,,-0.3825,,,,False,
standard,OU25,Ligue 2,51,30,21,-0.29470588235294115,-15.03,1.0.0,UNCHANGED,0.0,-0.32047619047619047,-0.32047619047619047,0.0,-0.5791309523809525,0.5847619047619047,False,21.0
standard,OU25,Serie B,36,21,15,0.23166666666666666,8.34,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
standard,OU25,Turkish Super Lig,3,1,2,-0.37333333333333335,-1.12,1.0.0,INSUFFICIENT_DATA,,,,,,,False,
